location,date,epiweek,epiyear,population,count,weekly_rate
South Dakota,2023-12-02,48,2023,906458,115,12.686743346078913
Tennessee,2023-12-02,48,2023,7030607,403,5.732079747879522
Texas,2023-12-02,48,2023,29914599,1257,4.201961724440966
US,2023-12-02,48,2023,332200066,23196,6.982539250910324
Utah,2023-12-02,48,2023,3376238,221,6.54574707114842
Vermont,2023-12-02,48,2023,646910,43,6.646983351625419
Virginia,2023-12-02,48,2023,8583866,611,7.118004870998686
Washington,2023-12-02,48,2023,7735834,254,3.2834210248048237
West Virginia,2023-12-02,48,2023,1774977,310,17.4650150396315
Wisconsin,2023-12-02,48,2023,5891022,586,9.947340206843567
Wyoming,2023-12-02,48,2023,578583,47,8.123294324236973
Alabama,2023-12-09,49,2023,5063778,336,6.635361976769124
Alaska,2023-12-09,49,2023,711426,18,2.5301296269745555
Arizona,2023-12-09,49,2023,7341018,450,6.1299400164936255
Arkansas,2023-12-09,49,2023,3041878,242,7.95561163202469
California,2023-12-09,49,2023,38886551,2551,6.5601086607038
Colorado,2023-12-09,49,2023,5803748,467,8.046524418358619
Connecticut,2023-12-09,49,2023,3621089,330,9.113280562836207
Delaware,2023-12-09,49,2023,1014872,65,6.404748579131161
District of Columbia,2023-12-09,49,2023,668576,47,7.029866462451539
Florida,2023-12-09,49,2023,22183852,898,4.047989501552751
Georgia,2023-12-09,49,2023,10855454,446,4.108533830091307
Hawaii,2023-12-09,49,2023,1398977,88,6.290310705608455
Idaho,2023-12-09,49,2023,1935521,167,8.628167816314058
Illinois,2023-12-09,49,2023,12563096,1244,9.902017782877724
Indiana,2023-12-09,49,2023,6831941,728,10.655829726866786
Iowa,2023-12-09,49,2023,3200224,346,10.811743177977542
Kansas,2023-12-09,49,2023,2916451,272,9.326403906666012
Kentucky,2023-12-09,49,2023,4494379,485,10.791257257120506
Louisiana,2023-12-09,49,2023,4575074,195,4.262226141041653
Maine,2023-12-09,49,2023,1384543,117,8.450441770316992
Maryland,2023-12-09,49,2023,6133130,428,6.978492221753004
Massachusetts,2023-12-09,49,2023,6978662,571,8.18208418748465
Michigan,2023-12-09,49,2023,10032075,1006,10.027835716937922
Minnesota,2023-12-09,49,2023,5716548,448,7.836897372330294
Mississippi,2023-12-09,49,2023,2927305,126,4.304300371843727
Missouri,2023-12-09,49,2023,6164537,684,11.09572381510566
Montana,2023-12-09,49,2023,1119563,111,9.914582743445434
Nebraska,2023-12-09,49,2023,1961505,188,9.584477225395807
Nevada,2023-12-09,49,2023,3165539,207,6.5391707383797835
New Hampshire,2023-12-09,49,2023,1394692,93,6.66813891525871
New Jersey,2023-12-09,49,2023,9254137,645,6.969855752081474
New Mexico,2023-12-09,49,2023,2100079,114,5.42836721856654
New York,2023-12-09,49,2023,19657190,1627,8.276869684832878
North Carolina,2023-12-09,49,2023,10596562,552,5.209236731687127
North Dakota,2023-12-09,49,2023,772061,81,10.491398995675212
Ohio,2023-12-09,49,2023,11749303,1257,10.698506966753687
Oklahoma,2023-12-09,49,2023,4001266,396,9.8968676413915
Oregon,2023-12-09,49,2023,4238665,203,4.789243783125111
Pennsylvania,2023-12-09,49,2023,12969276,1245,9.599610649044712
Puerto Rico,2023-12-09,49,2023,3221789,74,2.2968605330764986
Rhode Island,2023-12-09,49,2023,1090390,54,4.9523564962994895
South Carolina,2023-12-09,49,2023,5246039,249,4.746438217481799
South Dakota,2023-12-09,49,2023,906458,105,11.583548272506833
Tennessee,2023-12-09,49,2023,7030607,413,5.87431497735544
Texas,2023-12-09,49,2023,29914599,1305,4.362418496734654
US,2023-12-09,49,2023,332200066,23714,7.138469382483506
Utah,2023-12-09,49,2023,3376238,209,6.19032189081457
Vermont,2023-12-09,49,2023,646910,47,7.26530738433476
Virginia,2023-12-09,49,2023,8583866,605,7.048106296160728
Washington,2023-12-09,49,2023,7735834,297,3.839275765224538
West Virginia,2023-12-09,49,2023,1774977,278,15.66217477747599
Wisconsin,2023-12-09,49,2023,5891022,557,9.455065691487826
Wyoming,2023-12-09,49,2023,578583,47,8.123294324236973
Alabama,2023-12-16,50,2023,5063778,389,7.682011336199968
Alaska,2023-12-16,50,2023,711426,23,3.232943412245265
Arizona,2023-12-16,50,2023,7341018,489,6.661201484589739
Arkansas,2023-12-16,50,2023,3041878,261,8.580225768423322
California,2023-12-16,50,2023,38886551,2886,7.421589021870312
Colorado,2023-12-16,50,2023,5803748,409,7.047170207941488
Connecticut,2023-12-16,50,2023,3621089,337,9.306592574775157
Delaware,2023-12-16,50,2023,1014872,63,6.207679392080972
District of Columbia,2023-12-16,50,2023,668576,49,7.329009716172881
Florida,2023-12-16,50,2023,22183852,1165,5.251567671836253
Georgia,2023-12-16,50,2023,10855454,520,4.790218815353094
Hawaii,2023-12-16,50,2023,1398977,74,5.289579456988928
Idaho,2023-12-16,50,2023,1935521,163,8.421505114126894
Illinois,2023-12-16,50,2023,12563096,1376,10.952714203568929
Indiana,2023-12-16,50,2023,6831941,737,10.787563885578052
Iowa,2023-12-16,50,2023,3200224,396,12.374133810633255
Kansas,2023-12-16,50,2023,2916451,338,11.589428384018795
Kentucky,2023-12-16,50,2023,4494379,471,10.479757047636614
Louisiana,2023-12-16,50,2023,4575074,200,4.371513990811952
Maine,2023-12-16,50,2023,1384543,99,7.15037380565284
Maryland,2023-12-16,50,2023,6133130,454,7.40241931933613
Massachusetts,2023-12-16,50,2023,6978662,669,9.586364836124748
Michigan,2023-12-16,50,2023,10032075,973,9.698890807734193
Minnesota,2023-12-16,50,2023,5716548,502,8.781523394887964
Mississippi,2023-12-16,50,2023,2927305,134,4.577589284341741
Missouri,2023-12-16,50,2023,6164537,702,11.387716547082125
Montana,2023-12-16,50,2023,1119563,109,9.735941612932903
Nebraska,2023-12-16,50,2023,1961505,250,12.745315459302933
Nevada,2023-12-16,50,2023,3165539,205,6.475990344772249
New Hampshire,2023-12-16,50,2023,1394692,108,7.74364519191334
New Jersey,2023-12-16,50,2023,9254137,757,8.180125278024304
New Mexico,2023-12-16,50,2023,2100079,126,5.999774294205123
New York,2023-12-16,50,2023,19657190,1873,9.528320171906564
North Carolina,2023-12-16,50,2023,10596562,549,5.180925662493174
North Dakota,2023-12-16,50,2023,772061,82,10.620922440066265
Ohio,2023-12-16,50,2023,11749303,1287,10.95384126190294
Oklahoma,2023-12-16,50,2023,4001266,407,10.171780631430153
Oregon,2023-12-16,50,2023,4238665,198,4.67128211359001
Pennsylvania,2023-12-16,50,2023,12969276,1077,8.30424150122181
Puerto Rico,2023-12-16,50,2023,3221789,60,1.862319351143107
Rhode Island,2023-12-16,50,2023,1090390,79,7.2451141334751785
South Carolina,2023-12-16,50,2023,5246039,267,5.0895542332033745
South Dakota,2023-12-16,50,2023,906458,121,13.348660390222161
Tennessee,2023-12-16,50,2023,7030607,491,6.983749767267605
Texas,2023-12-16,50,2023,29914599,1468,4.907302952648638
US,2023-12-16,50,2023,332200066,25459,7.663755250427915
Utah,2023-12-16,50,2023,3376238,242,7.167741136732659
Vermont,2023-12-16,50,2023,646910,41,6.337821335270749
Virginia,2023-12-16,50,2023,8583866,655,7.630594419810374
Washington,2023-12-16,50,2023,7735834,280,3.6195192399423255
West Virginia,2023-12-16,50,2023,1774977,254,14.310044580859358
Wisconsin,2023-12-16,50,2023,5891022,561,9.522965624640342
Wyoming,2023-12-16,50,2023,578583,33,5.703589631911066
Alabama,2023-12-23,51,2023,5063778,421,8.313950572082742
Alaska,2023-12-23,51,2023,711426,21,2.9518178981369814
Arizona,2023-12-23,51,2023,7341018,534,7.274195486239102
Arkansas,2023-12-23,51,2023,3041878,294,9.665081900063052
California,2023-12-23,51,2023,38886551,3341,8.591659363156172
Colorado,2023-12-23,51,2023,5803748,435,7.495156578128478
Connecticut,2023-12-23,51,2023,3621089,364,10.052224620825392
Delaware,2023-12-23,51,2023,1014872,102,10.050528539559668
District of Columbia,2023-12-23,51,2023,668576,82,12.264873402575025
Florida,2023-12-23,51,2023,22183852,1440,6.491208109394167
Georgia,2023-12-23,51,2023,10855454,760,7.001089037823752
Hawaii,2023-12-23,51,2023,1398977,84,6.004387491717162
Idaho,2023-12-23,51,2023,1935521,169,8.73149916740764
Illinois,2023-12-23,51,2023,12563096,1524,12.1307677661621
Indiana,2023-12-23,51,2023,6831941,818,11.973171313979439
Iowa,2023-12-23,51,2023,3200224,411,12.84285100042997
Kansas,2023-12-23,51,2023,2916451,302,10.355051396371824
Kentucky,2023-12-23,51,2023,4494379,540,12.015008080092933
Louisiana,2023-12-23,51,2023,4575074,316,6.906992105482884
Maine,2023-12-23,51,2023,1384543,105,7.583729793874224
Maryland,2023-12-23,51,2023,6133130,458,7.467638872810458
Massachusetts,2023-12-23,51,2023,6978662,853,12.2229734009184
Michigan,2023-12-23,51,2023,10032075,1116,11.124318747617018
Minnesota,2023-12-23,51,2023,5716548,530,9.271329480658608
Mississippi,2023-12-23,51,2023,2927305,149,5.090005995275518
Missouri,2023-12-23,51,2023,6164537,763,12.377247472113478
Montana,2023-12-23,51,2023,1119563,104,9.289338786651577
Nebraska,2023-12-23,51,2023,1961505,244,12.439427888279663
Nevada,2023-12-23,51,2023,3165539,246,7.771188413726699
New Hampshire,2023-12-23,51,2023,1394692,131,9.392754816117106
New Jersey,2023-12-23,51,2023,9254137,982,10.611470307820168
New Mexico,2023-12-23,51,2023,2100079,135,6.4283296009340605
New York,2023-12-23,51,2023,19657190,2399,12.204185847519406
North Carolina,2023-12-23,51,2023,10596562,691,6.520982937673558
North Dakota,2023-12-23,51,2023,772061,91,11.786633439585732
Ohio,2023-12-23,51,2023,11749303,1467,12.485847032798457
Oklahoma,2023-12-23,51,2023,4001266,395,9.871875551387985
Oregon,2023-12-23,51,2023,4238665,202,4.765651449218091
Pennsylvania,2023-12-23,51,2023,12969276,1260,9.715268608671757
Puerto Rico,2023-12-23,51,2023,3221789,113,3.5073681113195185
Rhode Island,2023-12-23,51,2023,1090390,98,8.987609937728703
South Carolina,2023-12-23,51,2023,5246039,397,7.56761434674809
South Dakota,2023-12-23,51,2023,906458,126,13.900257927008202
Tennessee,2023-12-23,51,2023,7030607,526,7.481573070433321
Texas,2023-12-23,51,2023,29914599,1792,5.990386165631035
US,2023-12-23,51,2023,332200066,29639,8.922033146134293
Utah,2023-12-23,51,2023,3376238,201,5.953371770592002
Vermont,2023-12-23,51,2023,646910,54,8.347374441576108
Virginia,2023-12-23,51,2023,8583866,794,9.249911403556393
Washington,2023-12-23,51,2023,7735834,306,3.9556174550798273
West Virginia,2023-12-23,51,2023,1774977,292,16.450917392169025
Wisconsin,2023-12-23,51,2023,5891022,622,10.55843960521621
Wyoming,2023-12-23,51,2023,578583,39,6.740605928622168
Alabama,2023-12-30,52,2023,5063778,526,10.387501189823093
Alaska,2023-12-30,52,2023,711426,34,4.779133739840827
Arizona,2023-12-30,52,2023,7341018,663,9.03144495763394
Arkansas,2023-12-30,52,2023,3041878,306,10.059575038841137
California,2023-12-30,52,2023,38886551,3759,9.666581127238567
Colorado,2023-12-30,52,2023,5803748,458,7.891452213293892
Connecticut,2023-12-30,52,2023,3621089,472,13.034752805026333
Delaware,2023-12-30,52,2023,1014872,107,10.543201507185142
District of Columbia,2023-12-30,52,2023,668576,76,11.367443641410999
Florida,2023-12-30,52,2023,22183852,1785,8.046393385603185
Georgia,2023-12-30,52,2023,10855454,970,8.935600482485578
Hawaii,2023-12-30,52,2023,1398977,81,5.789945081298692
Idaho,2023-12-30,52,2023,1935521,191,9.868144029437035
Illinois,2023-12-30,52,2023,12563096,1777,14.144602572486908
Indiana,2023-12-30,52,2023,6831941,900,13.173415871126522
Iowa,2023-12-30,52,2023,3200224,406,12.686611937164399
Kansas,2023-12-30,52,2023,2916451,356,12.206616877842281
Kentucky,2023-12-30,52,2023,4494379,610,13.572509127512388
Louisiana,2023-12-30,52,2023,4575074,379,8.284019012588649
Maine,2023-12-30,52,2023,1384543,126,9.10047575264907
Maryland,2023-12-30,52,2023,6133130,570,9.293786370091617
Massachusetts,2023-12-30,52,2023,6978662,1109,15.891298360631307
Michigan,2023-12-30,52,2023,10032075,1348,13.43690113959475
Minnesota,2023-12-30,52,2023,5716548,598,10.460858546101598
Mississippi,2023-12-30,52,2023,2927305,195,6.661417242139101
Missouri,2023-12-30,52,2023,6164537,781,12.669240204089942
Montana,2023-12-30,52,2023,1119563,95,8.485453699345191
Nebraska,2023-12-30,52,2023,1961505,223,11.368821389698216
Nevada,2023-12-30,52,2023,3165539,264,8.339811956194506
New Hampshire,2023-12-30,52,2023,1394692,128,9.177653560786181
New Jersey,2023-12-30,52,2023,9254137,1381,14.923055493991498
New Mexico,2023-12-30,52,2023,2100079,132,6.285477832024414
New York,2023-12-30,52,2023,19657190,3004,15.281940094184367
North Carolina,2023-12-30,52,2023,10596562,888,8.380076481409725
North Dakota,2023-12-30,52,2023,772061,100,12.9523444391052
Ohio,2023-12-30,52,2023,11749303,1754,14.92854512305964
Oklahoma,2023-12-30,52,2023,4001266,444,11.096487961560166
Oregon,2023-12-30,52,2023,4238665,281,6.629445827872691
Pennsylvania,2023-12-30,52,2023,12969276,1733,13.362349602244567
Puerto Rico,2023-12-30,52,2023,3221789,96,2.9797109618289714
Rhode Island,2023-12-30,52,2023,1090390,111,10.179843909060061
South Carolina,2023-12-30,52,2023,5246039,505,9.626310441077544
South Dakota,2023-12-30,52,2023,906458,132,14.56217497115145
Tennessee,2023-12-30,52,2023,7030607,755,10.738759825431858
Texas,2023-12-30,52,2023,29914599,1917,6.408242343479182
US,2023-12-30,52,2023,332200066,35350,10.641177897899635
Utah,2023-12-30,52,2023,3376238,242,7.167741136732659
Vermont,2023-12-30,52,2023,646910,56,8.656536457930779
Virginia,2023-12-30,52,2023,8583866,1022,11.906057247398783
Washington,2023-12-30,52,2023,7735834,363,4.692448157496658
West Virginia,2023-12-30,52,2023,1774977,341,19.211516543594648
Wisconsin,2023-12-30,52,2023,5891022,751,12.748212449384843
Wyoming,2023-12-30,52,2023,578583,49,8.468966423140673
Alabama,2024-01-06,1,2024,5063778,529,10.446745493187102
Alaska,2024-01-06,1,2024,711426,36,5.060259253949111
Arizona,2024-01-06,1,2024,7341018,627,8.541049756314452
Arkansas,2024-01-06,1,2024,3041878,359,11.801919735111007
California,2024-01-06,1,2024,38886551,3676,9.453139724322684
Colorado,2024-01-06,1,2024,5803748,472,8.13267564339458
Connecticut,2024-01-06,1,2024,3621089,409,11.294944697575785
Delaware,2024-01-06,1,2024,1014872,110,10.838805287760428
District of Columbia,2024-01-06,1,2024,668576,89,13.311874790599722
Florida,2024-01-06,1,2024,22183852,2120,9.556500827719189
Georgia,2024-01-06,1,2024,10855454,986,9.082991830650288
Hawaii,2024-01-06,1,2024,1398977,108,7.7199267750649225
Idaho,2024-01-06,1,2024,1935521,202,10.436466460451733
