location,date,epiweek,season,epiyear,population,pop_served,count,weekly_rate,type
New Mexico,2022-07-02,26,2021-22,2022,2100079,672025.28,0,0,Crude Rate
New York,2022-07-02,26,2021-22,2022,19657190,1769147.0999999999,4,0.2,Crude Rate
Oregon,2022-07-02,26,2021-22,2022,4238665,1822625.95,2,0.1,Crude Rate
Tennessee,2022-07-02,26,2021-22,2022,7030607,1827957.82,2,0.1,Crude Rate
Utah,2022-07-02,26,2021-22,2022,3376238,1215445.68,0,0,Crude Rate
California,2022-07-09,27,2021-22,2022,38886551,3499789.59,3,0.1,Crude Rate
Colorado,2022-07-09,27,2021-22,2022,5803748,2843836.52,3,0.1,Crude Rate
Connecticut,2022-07-09,27,2021-22,2022,3621089,869061.36,1,0.1,Crude Rate
Georgia,2022-07-09,27,2021-22,2022,10855454,4233627.0600000005,47,1.1,Crude Rate
Maryland,2022-07-09,27,2021-22,2022,6133130,2821239.8000000003,8,0.3,Crude Rate
Michigan,2022-07-09,27,2021-22,2022,10032075,1304169.75,3,0.2,Crude Rate
Minnesota,2022-07-09,27,2021-22,2022,5716548,3144101.4000000004,13,0.4,Crude Rate
New Mexico,2022-07-09,27,2021-22,2022,2100079,672025.28,0,0,Crude Rate
New York,2022-07-09,27,2021-22,2022,19657190,1769147.0999999999,4,0.2,Crude Rate
Oregon,2022-07-09,27,2021-22,2022,4238665,1822625.95,5,0.3,Crude Rate
Tennessee,2022-07-09,27,2021-22,2022,7030607,1827957.82,4,0.2,Crude Rate
Utah,2022-07-09,27,2021-22,2022,3376238,1215445.68,0,0,Crude Rate
California,2022-07-16,28,2021-22,2022,38886551,3499789.59,0,0,Crude Rate
Colorado,2022-07-16,28,2021-22,2022,5803748,2843836.52,6,0.2,Crude Rate
Connecticut,2022-07-16,28,2021-22,2022,3621089,869061.36,3,0.4,Crude Rate
Georgia,2022-07-16,28,2021-22,2022,10855454,4233627.0600000005,55,1.3,Crude Rate
Maryland,2022-07-16,28,2021-22,2022,6133130,2821239.8000000003,8,0.3,Crude Rate
Michigan,2022-07-16,28,2021-22,2022,10032075,1304169.75,3,0.2,Crude Rate
Minnesota,2022-07-16,28,2021-22,2022,5716548,3144101.4000000004,6,0.2,Crude Rate
New Mexico,2022-07-16,28,2021-22,2022,2100079,672025.28,1,0.1,Crude Rate
New York,2022-07-16,28,2021-22,2022,19657190,1769147.0999999999,2,0.1,Crude Rate
Oregon,2022-07-16,28,2021-22,2022,4238665,1822625.95,2,0.1,Crude Rate
Tennessee,2022-07-16,28,2021-22,2022,7030607,1827957.82,13,0.7,Crude Rate
Utah,2022-07-16,28,2021-22,2022,3376238,1215445.68,1,0.1,Crude Rate
California,2022-07-23,29,2021-22,2022,38886551,3499789.59,3,0.1,Crude Rate
Colorado,2022-07-23,29,2021-22,2022,5803748,2843836.52,6,0.2,Crude Rate
Connecticut,2022-07-23,29,2021-22,2022,3621089,869061.36,8,0.9,Crude Rate
Georgia,2022-07-23,29,2021-22,2022,10855454,4233627.0600000005,47,1.1,Crude Rate
Maryland,2022-07-23,29,2021-22,2022,6133130,2821239.8000000003,11,0.4,Crude Rate
Michigan,2022-07-23,29,2021-22,2022,10032075,1304169.75,1,0.1,Crude Rate
Minnesota,2022-07-23,29,2021-22,2022,5716548,3144101.4000000004,16,0.5,Crude Rate
New Mexico,2022-07-23,29,2021-22,2022,2100079,672025.28,1,0.1,Crude Rate
New York,2022-07-23,29,2021-22,2022,19657190,1769147.0999999999,4,0.2,Crude Rate
Oregon,2022-07-23,29,2021-22,2022,4238665,1822625.95,5,0.3,Crude Rate
Tennessee,2022-07-23,29,2021-22,2022,7030607,1827957.82,13,0.7,Crude Rate
Utah,2022-07-23,29,2021-22,2022,3376238,1215445.68,1,0.1,Crude Rate
California,2022-07-30,30,2021-22,2022,38886551,3499789.59,3,0.1,Crude Rate
Colorado,2022-07-30,30,2021-22,2022,5803748,2843836.52,6,0.2,Crude Rate
Connecticut,2022-07-30,30,2021-22,2022,3621089,869061.36,5,0.6,Crude Rate
Georgia,2022-07-30,30,2021-22,2022,10855454,4233627.0600000005,51,1.2,Crude Rate
Maryland,2022-07-30,30,2021-22,2022,6133130,2821239.8000000003,8,0.3,Crude Rate
Michigan,2022-07-30,30,2021-22,2022,10032075,1304169.75,3,0.2,Crude Rate
Minnesota,2022-07-30,30,2021-22,2022,5716548,3144101.4000000004,9,0.3,Crude Rate
New Mexico,2022-07-30,30,2021-22,2022,2100079,672025.28,1,0.1,Crude Rate
New York,2022-07-30,30,2021-22,2022,19657190,1769147.0999999999,5,0.3,Crude Rate
Oregon,2022-07-30,30,2021-22,2022,4238665,1822625.95,0,0,Crude Rate
Tennessee,2022-07-30,30,2021-22,2022,7030607,1827957.82,5,0.3,Crude Rate
Utah,2022-07-30,30,2021-22,2022,3376238,1215445.68,4,0.3,Crude Rate
California,2022-08-06,31,2021-22,2022,38886551,3499789.59,7,0.2,Crude Rate
Colorado,2022-08-06,31,2021-22,2022,5803748,2843836.52,9,0.3,Crude Rate
Connecticut,2022-08-06,31,2021-22,2022,3621089,869061.36,9,1,Crude Rate
Georgia,2022-08-06,31,2021-22,2022,10855454,4233627.0600000005,42,1,Crude Rate
Maryland,2022-08-06,31,2021-22,2022,6133130,2821239.8000000003,8,0.3,Crude Rate
Michigan,2022-08-06,31,2021-22,2022,10032075,1304169.75,1,0.1,Crude Rate
Minnesota,2022-08-06,31,2021-22,2022,5716548,3144101.4000000004,13,0.4,Crude Rate
New Mexico,2022-08-06,31,2021-22,2022,2100079,672025.28,1,0.1,Crude Rate
New York,2022-08-06,31,2021-22,2022,19657190,1769147.0999999999,5,0.3,Crude Rate
Oregon,2022-08-06,31,2021-22,2022,4238665,1822625.95,2,0.1,Crude Rate
Tennessee,2022-08-06,31,2021-22,2022,7030607,1827957.82,11,0.6,Crude Rate
Utah,2022-08-06,31,2021-22,2022,3376238,1215445.68,2,0.2,Crude Rate
California,2022-08-13,32,2021-22,2022,38886551,3499789.59,3,0.1,Crude Rate
Colorado,2022-08-13,32,2021-22,2022,5803748,2843836.52,9,0.3,Crude Rate
Connecticut,2022-08-13,32,2021-22,2022,3621089,869061.36,4,0.5,Crude Rate
Georgia,2022-08-13,32,2021-22,2022,10855454,4233627.0600000005,47,1.1,Crude Rate
Maryland,2022-08-13,32,2021-22,2022,6133130,2821239.8000000003,8,0.3,Crude Rate
Michigan,2022-08-13,32,2021-22,2022,10032075,1304169.75,3,0.2,Crude Rate
Minnesota,2022-08-13,32,2021-22,2022,5716548,3144101.4000000004,6,0.2,Crude Rate
New Mexico,2022-08-13,32,2021-22,2022,2100079,672025.28,3,0.4,Crude Rate
New York,2022-08-13,32,2021-22,2022,19657190,1769147.0999999999,2,0.1,Crude Rate
Oregon,2022-08-13,32,2021-22,2022,4238665,1822625.95,2,0.1,Crude Rate
Tennessee,2022-08-13,32,2021-22,2022,7030607,1827957.82,9,0.5,Crude Rate
Utah,2022-08-13,32,2021-22,2022,3376238,1215445.68,2,0.2,Crude Rate
California,2022-08-20,33,2021-22,2022,38886551,3499789.59,3,0.1,Crude Rate
Colorado,2022-08-20,33,2021-22,2022,5803748,2843836.52,9,0.3,Crude Rate
Connecticut,2022-08-20,33,2021-22,2022,3621089,869061.36,5,0.6,Crude Rate
Georgia,2022-08-20,33,2021-22,2022,10855454,4233627.0600000005,55,1.3,Crude Rate
Maryland,2022-08-20,33,2021-22,2022,6133130,2821239.8000000003,11,0.4,Crude Rate
Michigan,2022-08-20,33,2021-22,2022,10032075,1304169.75,3,0.2,Crude Rate
Minnesota,2022-08-20,33,2021-22,2022,5716548,3144101.4000000004,9,0.3,Crude Rate
New Mexico,2022-08-20,33,2021-22,2022,2100079,672025.28,5,0.7,Crude Rate
New York,2022-08-20,33,2021-22,2022,19657190,1769147.0999999999,2,0.1,Crude Rate
Oregon,2022-08-20,33,2021-22,2022,4238665,1822625.95,2,0.1,Crude Rate
Tennessee,2022-08-20,33,2021-22,2022,7030607,1827957.82,11,0.6,Crude Rate
Utah,2022-08-20,33,2021-22,2022,3376238,1215445.68,6,0.5,Crude Rate
California,2022-08-27,34,2021-22,2022,38886551,3499789.59,7,0.2,Crude Rate
Colorado,2022-08-27,34,2021-22,2022,5803748,2843836.52,3,0.1,Crude Rate
Connecticut,2022-08-27,34,2021-22,2022,3621089,869061.36,7,0.8,Crude Rate
Georgia,2022-08-27,34,2021-22,2022,10855454,4233627.0600000005,64,1.5,Crude Rate
Maryland,2022-08-27,34,2021-22,2022,6133130,2821239.8000000003,11,0.4,Crude Rate
Michigan,2022-08-27,34,2021-22,2022,10032075,1304169.75,3,0.2,Crude Rate
Minnesota,2022-08-27,34,2021-22,2022,5716548,3144101.4000000004,13,0.4,Crude Rate
New Mexico,2022-08-27,34,2021-22,2022,2100079,672025.28,2,0.3,Crude Rate
New York,2022-08-27,34,2021-22,2022,19657190,1769147.0999999999,9,0.5,Crude Rate
Oregon,2022-08-27,34,2021-22,2022,4238665,1822625.95,4,0.2,Crude Rate
Tennessee,2022-08-27,34,2021-22,2022,7030607,1827957.82,13,0.7,Crude Rate
Utah,2022-08-27,34,2021-22,2022,3376238,1215445.68,0,0,Crude Rate
California,2022-09-03,35,2021-22,2022,38886551,3499789.59,3,0.1,Crude Rate
Colorado,2022-09-03,35,2021-22,2022,5803748,2843836.52,6,0.2,Crude Rate
Connecticut,2022-09-03,35,2021-22,2022,3621089,869061.36,8,0.9,Crude Rate
Georgia,2022-09-03,35,2021-22,2022,10855454,4233627.0600000005,76,1.8,Crude Rate
Maryland,2022-09-03,35,2021-22,2022,6133130,2821239.8000000003,8,0.3,Crude Rate
Michigan,2022-09-03,35,2021-22,2022,10032075,1304169.75,1,0.1,Crude Rate
Minnesota,2022-09-03,35,2021-22,2022,5716548,3144101.4000000004,16,0.5,Crude Rate
New Mexico,2022-09-03,35,2021-22,2022,2100079,672025.28,3,0.4,Crude Rate
New York,2022-09-03,35,2021-22,2022,19657190,1769147.0999999999,7,0.4,Crude Rate
Oregon,2022-09-03,35,2021-22,2022,4238665,1822625.95,2,0.1,Crude Rate
Tennessee,2022-09-03,35,2021-22,2022,7030607,1827957.82,9,0.5,Crude Rate
Utah,2022-09-03,35,2021-22,2022,3376238,1215445.68,2,0.2,Crude Rate
California,2022-09-10,36,2021-22,2022,38886551,3499789.59,7,0.2,Crude Rate
Colorado,2022-09-10,36,2021-22,2022,5803748,2843836.52,6,0.2,Crude Rate
Connecticut,2022-09-10,36,2021-22,2022,3621089,869061.36,5,0.6,Crude Rate
Georgia,2022-09-10,36,2021-22,2022,10855454,4233627.0600000005,85,2,Crude Rate
Maryland,2022-09-10,36,2021-22,2022,6133130,2821239.8000000003,11,0.4,Crude Rate
Michigan,2022-09-10,36,2021-22,2022,10032075,1304169.75,5,0.4,Crude Rate
Minnesota,2022-09-10,36,2021-22,2022,5716548,3144101.4000000004,13,0.4,Crude Rate
New Mexico,2022-09-10,36,2021-22,2022,2100079,672025.28,5,0.7,Crude Rate
New York,2022-09-10,36,2021-22,2022,19657190,1769147.0999999999,7,0.4,Crude Rate
Oregon,2022-09-10,36,2021-22,2022,4238665,1822625.95,2,0.1,Crude Rate
Tennessee,2022-09-10,36,2021-22,2022,7030607,1827957.82,16,0.9,Crude Rate
Utah,2022-09-10,36,2021-22,2022,3376238,1215445.68,0,0,Crude Rate
California,2022-09-17,37,2021-22,2022,38886551,3499789.59,7,0.2,Crude Rate
Colorado,2022-09-17,37,2021-22,2022,5803748,2843836.52,14,0.5,Crude Rate
Connecticut,2022-09-17,37,2021-22,2022,3621089,869061.36,3,0.4,Crude Rate
Georgia,2022-09-17,37,2021-22,2022,10855454,4233627.0600000005,123,2.9,Crude Rate
Maryland,2022-09-17,37,2021-22,2022,6133130,2821239.8000000003,17,0.6,Crude Rate
Michigan,2022-09-17,37,2021-22,2022,10032075,1304169.75,5,0.4,Crude Rate
Minnesota,2022-09-17,37,2021-22,2022,5716548,3144101.4000000004,35,1.1,Crude Rate
New Mexico,2022-09-17,37,2021-22,2022,2100079,672025.28,2,0.3,Crude Rate
New York,2022-09-17,37,2021-22,2022,19657190,1769147.0999999999,11,0.6,Crude Rate
Oregon,2022-09-17,37,2021-22,2022,4238665,1822625.95,2,0.1,Crude Rate
Tennessee,2022-09-17,37,2021-22,2022,7030607,1827957.82,15,0.8,Crude Rate
Utah,2022-09-17,37,2021-22,2022,3376238,1215445.68,4,0.3,Crude Rate
California,2022-09-24,38,2021-22,2022,38886551,3499789.59,10,0.3,Crude Rate
Colorado,2022-09-24,38,2021-22,2022,5803748,2843836.52,23,0.8,Crude Rate
Connecticut,2022-09-24,38,2021-22,2022,3621089,869061.36,11,1.3,Crude Rate
Georgia,2022-09-24,38,2021-22,2022,10855454,4233627.0600000005,102,2.4,Crude Rate
Maryland,2022-09-24,38,2021-22,2022,6133130,2821239.8000000003,17,0.6,Crude Rate
Michigan,2022-09-24,38,2021-22,2022,10032075,1304169.75,13,1,Crude Rate
Minnesota,2022-09-24,38,2021-22,2022,5716548,3144101.4000000004,44,1.4,Crude Rate
New Mexico,2022-09-24,38,2021-22,2022,2100079,672025.28,5,0.7,Crude Rate
New York,2022-09-24,38,2021-22,2022,19657190,1769147.0999999999,14,0.8,Crude Rate
Oregon,2022-09-24,38,2021-22,2022,4238665,1822625.95,4,0.2,Crude Rate
Tennessee,2022-09-24,38,2021-22,2022,7030607,1827957.82,22,1.2,Crude Rate
Utah,2022-09-24,38,2021-22,2022,3376238,1215445.68,6,0.5,Crude Rate
California,2022-10-01,39,2021-22,2022,38886551,3499789.59,21,0.6,Crude Rate
Colorado,2022-10-01,39,2021-22,2022,5803748,2843836.52,26,0.9,Crude Rate
