model,date,interval_score,dispersion,underprediction,overprediction,coverage_deviation,bias,ae_median,coverage_50,coverage_95,r_wis,improvement,percent
COVID-19_forecast_model,2023-07-01,17.43576923076923,7.771346153846155,0.8230769230769233,8.841346153846153,-0.0021153846153845975,0.528125,28.966346153846153,0.49519230769230776,0.9423076923076923,0.4359745777105452,56.40254222894547,0.5640254222894547
COVID-19_forecast_model,2023-07-08,18.170480769230767,7.973365384615383,0.43557692307692314,9.76153846153846,-0.04153846153846153,0.5653846153846154,30.475961538461533,0.423076923076923,0.9134615384615385,0.46721031015536274,53.278968984463724,0.5327896898446373
COVID-19_forecast_model,2023-07-15,17.131778846153846,8.220240384615385,0.9240384615384615,7.9875,0.015192307692307712,0.37908653846153834,27.740384615384606,0.5144230769230771,0.9615384615384615,0.4463934885569273,55.36065114430727,0.5536065114430727
COVID-19_forecast_model,2023-07-22,17.447115384615387,8.9,1.3875,7.159615384615384,-0.0049999999999999385,0.3793269230769231,27.841346153846157,0.45673076923076916,0.9759615384615385,0.43387168769740064,56.61283123025993,0.5661283123025993
COVID-19_forecast_model,2023-07-29,18.143076923076922,9.65846153846154,2.275961538461537,6.208653846153847,0.045961538461538505,0.2911057692307692,29.086538461538463,0.5817307692307693,0.971153846153846,0.41335700272260395,58.66429972773961,0.5866429972773961
COVID-19_forecast_model,2023-08-05,18.00125,10.455096153846155,3.242307692307693,4.303846153846154,0.09884615384615389,0.1600961538461537,26.98076923076921,0.6971153846153845,0.9951923076923077,0.3761647475128765,62.38352524871236,0.6238352524871236
COVID-19_forecast_model,2023-08-12,20.987788461538464,11.38875,7.654807692307694,1.944230769230769,0.07000000000000006,-0.1872596153846154,32.47596153846153,0.6298076923076922,0.9903846153846154,0.3792727883187083,62.07272116812916,0.6207272116812916
COVID-19_forecast_model,2023-08-19,26.301682692307693,12.423798076923076,13.04230769230769,0.8355769230769228,0.012307692307692322,-0.4584134615384616,45.05288461538462,0.5,0.9759615384615385,0.4072598887649725,59.274011123502746,0.5927401112350275
COVID-19_forecast_model,2023-08-26,35.79269230769231,13.403269230769231,21.933653846153845,0.4557692307692306,-0.020384615384615338,-0.5442307692307692,67.26442307692311,0.42307692307692296,0.9711538461538461,0.47310814088182984,52.68918591181701,0.5268918591181702
COVID-19_forecast_model,2023-09-02,37.84533653846154,14.48956730769231,22.7375,0.6182692307692308,-0.012692307692307673,-0.5112980769230768,70.24038461538463,0.46634615384615385,0.9519230769230769,0.5099233019629503,49.00766980370497,0.4900766980370497
COVID-19_forecast_model,2023-09-09,48.09600961538462,15.567163461538462,31.62211538461538,0.90673076923077,-0.053076923076923174,-0.630528846153846,86.02884615384613,0.36538461538461564,0.9471153846153846,0.6167385875655467,38.326141243445335,0.38326141243445333
COVID-19_forecast_model,2023-09-16,36.94326923076923,16.602884615384614,16.711538461538463,3.628846153846153,0.02384615384615387,-0.39807692307692305,62.5096153846154,0.528846153846154,0.971153846153846,0.618001518534538,38.1998481465462,0.381998481465462
COVID-19_forecast_model,2023-09-23,42.149663461538466,17.300625,15.727884615384616,9.121153846153831,-0.011730769230769232,-0.332932692307692,74.4182692307692,0.4471153846153846,0.9711538461538461,0.6854908049880791,31.450919501192086,0.3145091950119209
COVID-19_forecast_model,2023-09-30,51.04745192307692,17.436875,16.780769230769227,16.8298076923077,-0.07134615384615385,-0.16923076923076932,88.91826923076921,0.3221153846153846,0.9471153846153846,0.7142655326171562,28.57344673828438,0.2857344673828438
COVID-19_forecast_model,2023-10-07,49.06485576923077,17.391778846153848,8.072115384615389,23.600961538461547,-0.032884615384615436,0.04711538461538454,87.63461538461542,0.4423076923076922,0.923076923076923,0.6719158677473982,32.80841322526018,0.3280841322526018
COVID-19_forecast_model,2023-10-14,40.30649038461539,16.69014423076923,4.074038461538461,19.5423076923077,0.03250000000000001,0.16947115384615383,70.5528846153846,0.5865384615384615,0.9375,0.6031634789267232,39.68365210732768,0.3968365210732768
COVID-19_forecast_model,2023-10-21,34.93033653846154,16.193798076923077,4.12019230769231,14.616346153846152,0.05269230769230767,0.16947115384615397,58.27884615384614,0.6009615384615385,0.9711538461538461,0.5923269637526887,40.767303624731134,0.4076730362473113
COVID-19_forecast_model,2023-10-28,33.89865384615385,15.931346153846155,5.652884615384617,12.31442307692308,0.04499999999999999,0.16874999999999998,58.34615384615387,0.6009615384615385,0.9567307692307693,0.6163933018709569,38.36066981290431,0.38360669812904313
COVID-19_forecast_model,2023-11-04,38.64908653846154,16.383701923076924,1.2692307692307685,20.996153846153845,-0.013653846153846159,0.565625,69.65384615384613,0.423076923076923,0.9855769230769231,0.7539747548600895,24.602524513991053,0.24602524513991053
COVID-19_forecast_model,2023-11-11,35.597932692307694,16.872932692307693,2.484615384615385,16.240384615384617,0.05653846153846154,0.27475961538461535,60.51923076923079,0.5817307692307693,1,0.7447697653088844,25.52302346911156,0.2552302346911156
COVID-19_forecast_model,2023-11-18,37.057307692307695,17.706346153846155,2.2576923076923068,17.09326923076923,0.06807692307692312,0.3139423076923077,61.14903846153847,0.625,0.9903846153846154,0.719493794159074,28.0506205840926,0.280506205840926
COVID-19_forecast_model,2023-11-25,37.39091346153846,18.629375,3.4163461538461544,15.34519230769231,0.0757692307692308,0.20841346153846155,62.18269230769231,0.6298076923076923,1,0.6522028596378365,34.77971403621635,0.34779714036216347
COVID-19_forecast_model,2023-12-02,40.051346153846154,19.435961538461537,12.528846153846155,8.086538461538463,0.0911538461538462,-0.0701923076923077,68.41346153846156,0.6634615384615385,1,0.49546599396488084,50.45340060351191,0.5045340060351191
COVID-19_forecast_model,2023-12-09,36.40528846153846,20.91394230769231,4.936538461538458,10.554807692307692,0.10653846153846161,0.17884615384615388,55.00480769230769,0.7307692307692307,0.9807692307692307,0.47685634684223543,52.314365315776456,0.5231436531577646
COVID-19_forecast_model,2023-12-16,36.63317307692308,22.195673076923075,4.695192307692306,9.742307692307694,0.11134615384615391,0.15841346153846145,54.283653846153854,0.7355769230769229,0.9903846153846154,0.49171400533924603,50.828599466075396,0.508285994660754
COVID-19_forecast_model,2023-12-23,42.57682692307692,23.637403846153845,13.998076923076919,4.941346153846154,0.10942307692307694,-0.11201923076923077,68.94711538461539,0.7163461538461539,0.9951923076923077,0.4558445542590814,54.415544574091854,0.5441554457409186
COVID-19_forecast_model,2023-12-30,60.61846153846154,26.20019230769231,31.78365384615385,2.634615384615384,0.08730769230769235,-0.26394230769230764,103.46634615384613,0.6634615384615385,1,0.4523143018283132,54.768569817168675,0.5476856981716868
COVID-19_forecast_model,2024-01-06,58.151201923076925,29.448317307692307,16.639423076923073,12.06346153846154,0.07288461538461542,0.07067307692307687,95.3125,0.625,1,0.5279563640734389,47.20436359265611,0.47204363592656107
COVID-19_forecast_model,2024-01-13,63.837644230769236,29.879951923076923,4.708653846153845,29.249038461538458,-0.009807692307692302,0.44807692307692304,109.58653846153845,0.4663461538461538,0.9567307692307693,0.8326989265059935,16.730107349400647,0.16730107349400647
COVID-19_forecast_model,2024-01-20,83.550625,28.60158653846154,1.0836538461538459,53.86538461538461,-0.15019230769230765,0.7213942307692308,144.4278846153846,0.25,0.8221153846153845,0.8811674396183863,11.883256038161372,0.11883256038161372
COVID-19_forecast_model,2024-01-27,67.68076923076923,25.047115384615385,1.9653846153846146,40.66826923076923,-0.05019230769230765,0.5497596153846154,115.77403846153845,0.43269230769230776,0.889423076923077,0.5794489880929571,42.05510119070429,0.4205510119070429
COVID-19_forecast_model,2024-02-03,43.63235576923077,20.490048076923078,4.4365384615384595,18.70576923076923,0.0305769230769231,0.2930288461538462,75.5576923076923,0.5576923076923077,0.9663461538461539,0.35156948485542705,64.8430515144573,0.648430515144573
COVID-19_forecast_model,2024-02-10,31.97591346153846,16.931682692307692,10.34423076923077,4.699999999999999,0.07480769230769234,-0.19182692307692303,54.1153846153846,0.6346153846153846,0.9903846153846154,0.30811420932240074,69.18857906775993,0.6918857906775993
COVID-19_forecast_model,2024-02-17,35.159471153846155,14.307548076923077,20.142307692307693,0.7096153846153842,0.04211538461538467,-0.4442307692307692,60.634615384615394,0.5625,0.9855769230769231,0.4524614178270541,54.75385821729459,0.5475385821729459
COVID-19_forecast_model,2024-02-24,33.800817307692306,13.063317307692309,20.175,0.5624999999999999,0.00749999999999999,-0.5278846153846154,56.71634615384615,0.5144230769230771,0.9471153846153846,0.5132795381742641,48.672046182573595,0.4867204618257359
COVID-19_forecast_model,2024-03-02,26.121009615384615,12.154663461538462,12.43173076923077,1.5346153846153847,0.02769230769230772,-0.2805288461538462,42.16826923076923,0.548076923076923,0.9663461538461539,0.4024582448751996,59.75417551248003,0.5975417551248003
COVID-19_forecast_model,2024-03-09,20.65966346153846,11.57985576923077,5.853846153846154,3.2259615384615388,0.07384615384615383,-0.1942307692307693,31.8701923076923,0.6346153846153845,0.9903846153846154,0.3058840402862383,69.41159597137617,0.6941159597137617
COVID-19_forecast_model,2024-03-16,19.688365384615384,10.900865384615384,0.6442307692307699,8.143269230769231,0.08250000000000002,0.4197115384615384,34.29326923076923,0.6490384615384615,0.9951923076923077,0.25909328591493747,74.09067140850625,0.7409067140850625
COVID-19_forecast_model,2024-03-23,21.769759615384615,10.075528846153846,0.25288461538461526,11.441346153846153,-0.007884615384615396,0.5776442307692309,38.68269230769231,0.4326923076923078,0.9855769230769231,0.29559019708142115,70.44098029185788,0.7044098029185788
COVID-19_forecast_model,2024-03-30,23.096201923076922,9.260625000000001,0.12115384615384614,13.714423076923078,-0.046346153846153815,0.6685096153846153,42.1875,0.3846153846153844,0.9471153846153846,0.34894259339460526,65.10574066053947,0.6510574066053947
