model,date,horizon,location,prediction,quantile,disease
2022-12-10,2022-12-24,2,US,47392,0.75,covid
2022-12-10,2022-12-24,2,US,48757,0.8,covid
2022-12-10,2022-12-24,2,US,50483,0.85,covid
2022-12-10,2022-12-24,2,US,52507,0.9,covid
2022-12-10,2022-12-24,2,US,55966,0.95,covid
2022-12-10,2022-12-24,2,US,58874,0.975,covid
2022-12-10,2022-12-24,2,US,62561,0.99,covid
2022-12-10,2022-12-31,3,US,28707,0.01,covid
2022-12-10,2022-12-31,3,US,31241,0.025,covid
2022-12-10,2022-12-31,3,US,33409,0.05,covid
2022-12-10,2022-12-31,3,US,36018,0.1,covid
2022-12-10,2022-12-31,3,US,37863,0.15,covid
2022-12-10,2022-12-31,3,US,39526,0.2,covid
2022-12-10,2022-12-31,3,US,40844,0.25,covid
2022-12-10,2022-12-31,3,US,42315,0.3,covid
2022-12-10,2022-12-31,3,US,43531,0.35,covid
2022-12-10,2022-12-31,3,US,44769,0.4,covid
2022-12-10,2022-12-31,3,US,45953,0.45,covid
2022-12-10,2022-12-31,3,US,47090,0.5,covid
2022-12-10,2022-12-31,3,US,48392,0.55,covid
2022-12-10,2022-12-31,3,US,49761,0.6,covid
2022-12-10,2022-12-31,3,US,51137,0.65,covid
2022-12-10,2022-12-31,3,US,52586,0.7,covid
2022-12-10,2022-12-31,3,US,54414,0.75,covid
2022-12-10,2022-12-31,3,US,56532,0.8,covid
2022-12-10,2022-12-31,3,US,58875,0.85,covid
2022-12-10,2022-12-31,3,US,62203,0.9,covid
2022-12-10,2022-12-31,3,US,66594,0.95,covid
2022-12-10,2022-12-31,3,US,70619,0.975,covid
2022-12-10,2022-12-31,3,US,75742,0.99,covid
2022-12-10,2023-01-07,4,US,31049,0.01,covid
2022-12-10,2023-01-07,4,US,34593,0.025,covid
2022-12-10,2023-01-07,4,US,36916,0.05,covid
2022-12-10,2023-01-07,4,US,40187,0.1,covid
2022-12-10,2023-01-07,4,US,42950,0.15,covid
2022-12-10,2023-01-07,4,US,45033,0.2,covid
2022-12-10,2023-01-07,4,US,47044,0.25,covid
2022-12-10,2023-01-07,4,US,48873,0.3,covid
2022-12-10,2023-01-07,4,US,50603,0.35,covid
2022-12-10,2023-01-07,4,US,52385,0.4,covid
2022-12-10,2023-01-07,4,US,53968,0.45,covid
2022-12-10,2023-01-07,4,US,55758,0.5,covid
2022-12-10,2023-01-07,4,US,57620,0.55,covid
2022-12-10,2023-01-07,4,US,59413,0.6,covid
2022-12-10,2023-01-07,4,US,61297,0.65,covid
2022-12-10,2023-01-07,4,US,63419,0.7,covid
2022-12-10,2023-01-07,4,US,65747,0.75,covid
2022-12-10,2023-01-07,4,US,68371,0.8,covid
2022-12-10,2023-01-07,4,US,72194,0.85,covid
2022-12-10,2023-01-07,4,US,76623,0.9,covid
2022-12-10,2023-01-07,4,US,83805,0.95,covid
2022-12-10,2023-01-07,4,US,90324,0.975,covid
2022-12-10,2023-01-07,4,US,100027,0.99,covid
2022-12-17,2023-01-14,4,US,NA,0.01,covid
2022-12-17,2023-01-14,4,US,NA,0.025,covid
2022-12-17,2023-01-14,4,US,NA,0.05,covid
2022-12-17,2023-01-14,4,US,NA,0.1,covid
2022-12-17,2023-01-14,4,US,NA,0.15,covid
2022-12-17,2023-01-14,4,US,NA,0.2,covid
2022-12-17,2023-01-14,4,US,NA,0.25,covid
