model,horizon,interval_score,dispersion,underprediction,overprediction,coverage_deviation,bias,ae_median,coverage_50,coverage_95,relative_skill,scaled_rel_skill,cov_50,cov_95,wis,mae,rel_wis
NIH-Flu_ARIMA,1,57.4755408021647,21.052139901166253,33.33198566207957,3.0914152389188656,-0.0011326808920263235,-0.26092250922509225,91.2800755678014,0.47970479704797037,0.981549815498155,0.8717737990418017,0.888194687900537,47.97,98.15,57.48,91.28,0.89
NIH-Flu_ARIMA,2,68.27914954738304,25.75866603357159,38.47870909899609,4.041774414815363,0.006926305187174792,-0.2761776061776061,105.55151972734365,0.4826254826254824,0.9768339768339769,0.8118512710467488,0.7993566345230732,48.26,97.68,68.28,105.55,0.8
NIH-Flu_ARIMA,3,74.63007324026042,28.568196756615038,42.608688653397074,3.4531878302483126,0.017880654814293247,-0.32578947368421046,111.28136087706359,0.530364372469636,0.9635627530364372,0.780507661017683,0.7657162674121828,53.04,96.36,74.63,111.28,0.77
NU_UCSD-GLEAM_AI_FLUH,0,33.15875667352485,14.132523327251553,10.90836296583852,8.117870380434757,0.015481366459627433,-0.09914285714285714,50.174602678571425,0.5410714285714292,0.9187500000000004,0.9927911272000767,1.0929772440803271,54.11,91.88,33.16,50.17,1.09
NU_UCSD-GLEAM_AI_FLUH,1,53.73545480050433,16.106032666856468,20.509790092325133,17.119632041322642,-0.07155570016675462,-0.13571562207670662,80.2310739008419,0.41908325537885677,0.8465855940130949,1.0315833868031927,1.051014477943844,41.91,84.66,53.74,80.23,1.05
NU_UCSD-GLEAM_AI_FLUH,2,70.57872518834883,17.78138069360212,30.1016065174682,22.69573797727845,-0.129900059793286,-0.1415913555992137,102.99223575638504,0.35559921414538187,0.7809430255402742,1.031023835145153,1.015156066593439,35.56,78.09,70.58,102.99,1.02
NU_UCSD-GLEAM_AI_FLUH,3,84.3816897019176,18.564375433833302,40.24767922916279,25.56963503892172,-0.1638389975318016,-0.1911462882096072,122.37030895196507,0.32314410480349365,0.7248908296943237,1.0070351400670425,0.987950826260462,32.31,72.49,84.38,122.37,0.99
PSI-PROF,0,21.809441181731625,11.420105040246963,5.687036438648619,4.702299702836049,0.050055682178817666,-0.05504313205043104,31.716018579960117,0.6018579960185796,0.9303251493032514,0.7788455725114241,0.8574416753788603,60.19,93.03,21.81,31.72,0.86
PSI-PROF,1,34.830907001344684,15.328524810996566,10.748781114597314,8.753601075750806,-0.014173016584491249,-0.09973883161512039,52.34002749140877,0.5051546391752569,0.8969072164948451,0.8023382628483379,0.8174512513963127,50.52,89.69,34.83,52.34,0.82
PSI-PROF,2,47.45458838823637,19.746406851777245,16.066952493104907,11.641229043354295,-0.055210263720598785,-0.1359800427655024,72.07982181040619,0.4461867426942273,0.8538845331432645,0.8232249921720703,0.8105553106414449,44.62,85.39,47.45,72.08,0.81
PSI-PROF,3,57.93337058217747,23.71690902391144,21.94869951404758,12.267762044218461,-0.06867248093199874,-0.16485566247224356,88.9437379718726,0.42931162102146403,0.8497409326424871,0.8283773105236186,0.8126787396244627,42.93,84.97,57.93,88.94,0.81
