model,horizon,interval_score,dispersion,underprediction,overprediction,coverage_deviation,bias,ae_median,coverage_50,coverage_95,relative_skill,scaled_rel_skill,cov_50,cov_95,wis,mae,rel_wis
ISU_NiemiLab-SIR,1,53.85248704506285,10.411696601465588,35.35140512402857,8.089385319568711,-0.2198202204664807,-0.45566920565832425,75.73663606316701,0.2709466811751911,0.6289445048966255,1.2261984544931113,1.2492953502269768,27.09,62.89,53.85,75.74,1.25
ISU_NiemiLab-SIR,2,74.27475764713859,10.971749971676969,50.895872688561255,12.40713498690034,-0.2638593851862997,-0.5122491349480971,99.95011135178777,0.2352941176470595,0.547866205305651,1.1850453020938383,1.1668070965975765,23.53,54.79,74.27,99.95,1.17
ISU_NiemiLab-SIR,3,87.13591193618694,11.465814687055893,59.80743709339058,15.862660155740446,-0.2625555388395768,-0.4974163783160323,114.05819132179928,0.25374855824682946,0.5340253748558226,1.164680087004862,1.1426082452385493,25.37,53.4,87.14,114.06,1.14
JHU_CSSE-CSSE_Ensemble,0,21.85289094565326,7.399416232476081,9.199494169698902,5.253980543478253,-0.047499999999999945,-0.08473750000000023,34.37834375000001,0.4612500000000002,0.8937499999999996,0.8051047088593777,0.8863507154490098,46.13,89.37,21.85,34.38,0.89
JHU_CSSE-CSSE_Ensemble,1,32.23768563896453,8.656493180062501,14.53931129518032,9.041881163721742,-0.0976231884057971,-0.0511333333333331,48.57196666666668,0.3773333333333339,0.8199999999999997,0.8338467225666336,0.8495532101572647,37.73,82,32.24,48.57,0.85
JHU_CSSE-CSSE_Ensemble,2,39.7108009831348,9.705088201173297,19.209650538561455,10.796062243399998,-0.10813664596273294,-0.037342857142856754,57.90507142857145,0.3728571428571429,0.8000000000000002,0.8492329739718391,0.8361630217378329,37.29,80,39.71,57.91,0.84
JHU_CSSE-CSSE_Ensemble,3,43.99050923966673,10.671945936881432,21.831579690745098,11.48698361204013,-0.11204013377926429,-0.026046153846154402,63.09949999999999,0.3753846153846158,0.7923076923076922,0.8238322158940813,0.80821977904203,37.54,79.23,43.99,63.1,0.81
LUcompUncertLab-chimera,0,26.970842180252014,11.159427866439994,8.890243039298145,6.921171274513897,-0.0363238221632381,-0.10877239548772388,36.8484255411327,0.48108825481088047,0.8533510285335107,0.9869572095244373,1.0865546048276027,48.11,85.34,26.97,36.85,1.09
LUcompUncertLab-chimera,1,41.44370174609756,15.567056117778845,13.964309586804559,11.912336041514115,-0.04746152696847442,-0.12687972508591042,60.139161327429946,0.47147766323023876,0.8329896907216516,0.9754715125297637,0.9938456702639371,47.15,83.3,41.44,60.14,0.99
LUcompUncertLab-chimera,2,57.12526686997139,20.601204969779484,19.833384104080054,16.69067779611177,-0.07309120208249363,-0.1503848895224519,84.50486534009471,0.4376336421952971,0.8125445473984324,1.0074598018040193,0.9919546908499827,43.76,81.25,57.13,84.5,0.99
LUcompUncertLab-chimera,3,80.59214288797847,33.35885536760495,24.940901281881963,22.29238623849161,-0.010652394167658256,-0.2121175278622087,118.35663627153082,0.5207700101317116,0.8611955420466045,0.9990580677371129,0.9801249273559126,52.08,86.12,80.59,118.36,0.98
LosAlamos_NAU-CModel_Flu,0,51.95293610370825,7.282729315953141,16.715383288667145,27.95482349908784,-0.2743338609068057,-0.18314775160599547,69.26066763985462,0.22698072805139136,0.5346181299072095,1.844685289537896,2.030839104737815,22.7,53.46,51.95,69.26,2.03
LosAlamos_NAU-CModel_Flu,1,92.83812618041688,9.18680310385827,24.330532415232966,59.320790661325866,-0.34077223063783135,-0.18558932542624282,116.02482753172399,0.16679021497405466,0.43291326908821426,2.095821057331744,2.1352983216038166,16.68,43.29,92.84,116.02,2.14
LosAlamos_NAU-CModel_Flu,2,146.73801289010984,12.080906327869254,31.088076595514803,103.56902996672575,-0.3592041835674298,-0.18597532767925812,176.7148185239509,0.1534309946029304,0.3947571318427137,2.4626241056486124,2.424723576091211,15.34,39.48,146.74,176.71,2.42
LosAlamos_NAU-CModel_Flu,3,225.1239952462211,16.6448201884922,39.86059250025872,168.61858255747,-0.38329666492055153,-0.15990361445783327,267.3778078055915,0.1389558232931724,0.3373493975903624,3.088962384322799,3.0304234861913844,13.9,33.73,225.12,267.38,3.03
MIGHTE-Nsemble,0,23.180296555395746,11.770379781572752,7.010353033551037,4.399563740271922,0.08032024465537639,-0.0019376244193761787,34.6421866240716,0.6456536164565366,0.9747843397478433,0.823413676678881,0.9065073069424824,64.57,97.48,23.18,34.64,0.91
MIGHTE-Nsemble,1,33.49222999565554,14.559081378170053,11.48942254221923,7.443726075266301,0.03393694905124769,-0.01712714776632312,51.25474406554876,0.578006872852233,0.9477663230240548,0.7751734734886643,0.7897747811540106,57.8,94.78,33.49,51.25,0.79
MIGHTE-Nsemble,2,40.731344208986336,16.750008852453632,14.783796977646151,9.197538378886524,3.8488952245178585e-4,-0.023107626514611367,62.127871509860434,0.5089094796863858,0.9294369208838207,0.7112747830282818,0.7003280490643919,50.89,92.94,40.73,62.13,0.7
MIGHTE-Nsemble,3,46.18126240166291,19.074351320547045,18.08688290584645,9.020028175269436,-0.01840375889035493,-0.052657290895633105,69.83518677059418,0.4900074019244999,0.9045151739452256,0.6655956591072424,0.6529819618078068,49,90.45,46.18,69.84,0.65
MOBS-GLEAM_FLUH,0,23.534399104477615,11.063035379623617,8.900460385817942,3.5709033390360516,-0.040606453896525264,-0.1545183175033922,36.36082835820897,0.4708276797829036,0.8833107191316147,0.8375302444956743,0.9220484282977726,47.08,88.33,23.53,36.36,0.92
MOBS-GLEAM_FLUH,1,35.23997177151762,11.844535186226281,16.680654954321895,6.714781630969467,-0.11622047725258947,-0.2201897399859448,54.348227687983204,0.3612087139845395,0.8144764581869292,0.8080105076351859,0.8232303396112688,36.12,81.45,35.24,54.35,0.82
MOBS-GLEAM_FLUH,2,45.833162064583604,12.971151036569905,24.40157241095197,8.460438617061737,-0.16148814805425274,-0.2918586005830907,68.06048833819236,0.3002915451895044,0.7660349854227403,0.7952219024031334,0.7829831968907528,30.03,76.6,45.83,68.06,0.78
MOBS-GLEAM_FLUH,3,56.967976060626,14.791042973044132,32.20677836290032,9.970154724681608,-0.1797406444393246,-0.3494019682059046,81.08210598031798,0.30809992429977373,0.7002271006813013,0.8149773203872244,0.7995326925796183,30.81,70.02,56.97,81.08,0.8
NIH-Flu_ARIMA,0,39.9101617126771,14.741279392836063,22.449378379806248,2.7195039400347962,-0.026329697342141637,-0.1963250883392225,65.69364706577593,0.4381625441696114,0.9787985865724381,0.925959353534705,1.0194012362006182,43.82,97.88,39.91,65.69,1.02
