location,date,epiweek,epiyear,population,pop_served,count,weekly_rate
Tennessee,2021-05-29,21,2021,7030607,1827957.82,11,0.6
Utah,2021-05-29,21,2021,3376238,1215445.68,1,0.1
California,2021-06-05,22,2021,38886551,3499789.59,0,0
Colorado,2021-06-05,22,2021,5803748,2843836.52,0,0
Connecticut,2021-06-05,22,2021,3621089,869061.36,0,0
Georgia,2021-06-05,22,2021,10855454,4233627.0600000005,34,0.8
Maryland,2021-06-05,22,2021,6133130,2821239.8000000003,3,0.1
Michigan,2021-06-05,22,2021,10032075,1304169.75,1,0.1
Minnesota,2021-06-05,22,2021,5716548,3144101.4000000004,9,0.3
New Mexico,2021-06-05,22,2021,2100079,672025.28,0,0
New York,2021-06-05,22,2021,19657190,1769147.0999999999,4,0.2
Oregon,2021-06-05,22,2021,4238665,1822625.95,0,0
Tennessee,2021-06-05,22,2021,7030607,1827957.82,15,0.8
Utah,2021-06-05,22,2021,3376238,1215445.68,0,0
California,2021-06-12,23,2021,38886551,3499789.59,0,0
Colorado,2021-06-12,23,2021,5803748,2843836.52,3,0.1
Connecticut,2021-06-12,23,2021,3621089,869061.36,3,0.4
Georgia,2021-06-12,23,2021,10855454,4233627.0600000005,30,0.7
Maryland,2021-06-12,23,2021,6133130,2821239.8000000003,3,0.1
Michigan,2021-06-12,23,2021,10032075,1304169.75,5,0.4
Minnesota,2021-06-12,23,2021,5716548,3144101.4000000004,9,0.3
New Mexico,2021-06-12,23,2021,2100079,672025.28,0,0
New York,2021-06-12,23,2021,19657190,1769147.0999999999,2,0.1
Oregon,2021-06-12,23,2021,4238665,1822625.95,0,0
Tennessee,2021-06-12,23,2021,7030607,1827957.82,13,0.7
Utah,2021-06-12,23,2021,3376238,1215445.68,0,0
California,2021-06-19,24,2021,38886551,3499789.59,0,0
Colorado,2021-06-19,24,2021,5803748,2843836.52,3,0.1
Connecticut,2021-06-19,24,2021,3621089,869061.36,1,0.1
Georgia,2021-06-19,24,2021,10855454,4233627.0600000005,38,0.9
Maryland,2021-06-19,24,2021,6133130,2821239.8000000003,6,0.2
Michigan,2021-06-19,24,2021,10032075,1304169.75,0,0
Minnesota,2021-06-19,24,2021,5716548,3144101.4000000004,13,0.4
New Mexico,2021-06-19,24,2021,2100079,672025.28,1,0.1
New York,2021-06-19,24,2021,19657190,1769147.0999999999,0,0
Oregon,2021-06-19,24,2021,4238665,1822625.95,0,0
Tennessee,2021-06-19,24,2021,7030607,1827957.82,18,1
Utah,2021-06-19,24,2021,3376238,1215445.68,1,0.1
California,2021-06-26,25,2021,38886551,3499789.59,0,0
Colorado,2021-06-26,25,2021,5803748,2843836.52,3,0.1
Connecticut,2021-06-26,25,2021,3621089,869061.36,3,0.4
Georgia,2021-06-26,25,2021,10855454,4233627.0600000005,30,0.7
Maryland,2021-06-26,25,2021,6133130,2821239.8000000003,6,0.2
Michigan,2021-06-26,25,2021,10032075,1304169.75,4,0.3
Minnesota,2021-06-26,25,2021,5716548,3144101.4000000004,13,0.4
New Mexico,2021-06-26,25,2021,2100079,672025.28,0,0
New York,2021-06-26,25,2021,19657190,1769147.0999999999,2,0.1
Oregon,2021-06-26,25,2021,4238665,1822625.95,0,0
Tennessee,2021-06-26,25,2021,7030607,1827957.82,22,1.2
Utah,2021-06-26,25,2021,3376238,1215445.68,2,0.2
California,2021-07-03,26,2021,38886551,3499789.59,0,0
Colorado,2021-07-03,26,2021,5803748,2843836.52,3,0.1
Connecticut,2021-07-03,26,2021,3621089,869061.36,1,0.1
Georgia,2021-07-03,26,2021,10855454,4233627.0600000005,30,0.7
Maryland,2021-07-03,26,2021,6133130,2821239.8000000003,11,0.4
Michigan,2021-07-03,26,2021,10032075,1304169.75,1,0.1
Minnesota,2021-07-03,26,2021,5716548,3144101.4000000004,22,0.7
New Mexico,2021-07-03,26,2021,2100079,672025.28,2,0.3
New York,2021-07-03,26,2021,19657190,1769147.0999999999,4,0.2
Oregon,2021-07-03,26,2021,4238665,1822625.95,0,0
Tennessee,2021-07-03,26,2021,7030607,1827957.82,29,1.6
Utah,2021-07-03,26,2021,3376238,1215445.68,2,0.2
California,2021-07-10,27,2021,38886551,3499789.59,0,0
Colorado,2021-07-10,27,2021,5803748,2843836.52,6,0.2
Connecticut,2021-07-10,27,2021,3621089,869061.36,5,0.6
Georgia,2021-07-10,27,2021,10855454,4233627.0600000005,34,0.8
Maryland,2021-07-10,27,2021,6133130,2821239.8000000003,6,0.2
Michigan,2021-07-10,27,2021,10032075,1304169.75,5,0.4
Minnesota,2021-07-10,27,2021,5716548,3144101.4000000004,19,0.6
New Mexico,2021-07-10,27,2021,2100079,672025.28,2,0.3
New York,2021-07-10,27,2021,19657190,1769147.0999999999,2,0.1
Oregon,2021-07-10,27,2021,4238665,1822625.95,0,0
Tennessee,2021-07-10,27,2021,7030607,1827957.82,24,1.3
Utah,2021-07-10,27,2021,3376238,1215445.68,2,0.2
California,2021-07-17,28,2021,38886551,3499789.59,0,0
Colorado,2021-07-17,28,2021,5803748,2843836.52,9,0.3
Connecticut,2021-07-17,28,2021,3621089,869061.36,10,1.1
Georgia,2021-07-17,28,2021,10855454,4233627.0600000005,51,1.2
Maryland,2021-07-17,28,2021,6133130,2821239.8000000003,8,0.3
Michigan,2021-07-17,28,2021,10032075,1304169.75,5,0.4
Minnesota,2021-07-17,28,2021,5716548,3144101.4000000004,35,1.1
New Mexico,2021-07-17,28,2021,2100079,672025.28,2,0.3
New York,2021-07-17,28,2021,19657190,1769147.0999999999,9,0.5
Oregon,2021-07-17,28,2021,4238665,1822625.95,0,0
Tennessee,2021-07-17,28,2021,7030607,1827957.82,29,1.6
