model,date,location,horizon,prediction,true_value,quantile
flu,2022-10-08,Florida,4,37,113,0.25
flu,2022-10-08,Florida,4,59,113,0.5
flu,2022-10-08,Florida,4,93,113,0.75
flu,2022-10-08,Florida,4,214,113,0.975
flu,2022-09-17,Georgia,1,14,36,0.025
flu,2022-09-17,Georgia,1,23,36,0.25
flu,2022-09-17,Georgia,1,30,36,0.5
flu,2022-09-17,Georgia,1,38,36,0.75
flu,2022-09-17,Georgia,1,59,36,0.975
flu,2022-09-24,Georgia,2,11,42,0.025
flu,2022-09-24,Georgia,2,22,42,0.25
flu,2022-09-24,Georgia,2,29,42,0.5
flu,2022-09-24,Georgia,2,40,42,0.75
flu,2022-09-24,Georgia,2,69,42,0.975
flu,2022-10-01,Georgia,3,10,49,0.025
flu,2022-10-01,Georgia,3,21,49,0.25
flu,2022-10-01,Georgia,3,30,49,0.5
flu,2022-10-01,Georgia,3,42,49,0.75
flu,2022-10-01,Georgia,3,79,49,0.975
flu,2022-10-08,Georgia,4,9,82,0.025
flu,2022-10-08,Georgia,4,20,82,0.25
flu,2022-10-08,Georgia,4,30,82,0.5
flu,2022-10-08,Georgia,4,44,82,0.75
flu,2022-10-08,Georgia,4,91,82,0.975
flu,2022-09-17,Hawaii,1,0,2,0.025
flu,2022-09-17,Hawaii,1,0,2,0.25
flu,2022-09-17,Hawaii,1,1,2,0.5
flu,2022-09-17,Hawaii,1,2,2,0.75
flu,2022-09-17,Hawaii,1,6,2,0.975
flu,2022-09-24,Hawaii,2,0,3,0.025
flu,2022-09-24,Hawaii,2,0,3,0.25
flu,2022-09-24,Hawaii,2,1,3,0.5
flu,2022-09-24,Hawaii,2,2,3,0.75
flu,2022-09-24,Hawaii,2,7,3,0.975
flu,2022-10-01,Hawaii,3,0,4,0.025
flu,2022-10-01,Hawaii,3,0,4,0.25
flu,2022-10-01,Hawaii,3,1,4,0.5
flu,2022-10-01,Hawaii,3,2,4,0.75
flu,2022-10-01,Hawaii,3,7,4,0.975
flu,2022-10-08,Hawaii,4,0,5,0.025
flu,2022-10-08,Hawaii,4,0,5,0.25
flu,2022-10-08,Hawaii,4,1,5,0.5
flu,2022-10-08,Hawaii,4,2,5,0.75
flu,2022-10-08,Hawaii,4,8,5,0.975
flu,2022-09-17,Idaho,1,0,0,0.025
flu,2022-09-17,Idaho,1,0,0,0.25
flu,2022-09-17,Idaho,1,1,0,0.5
flu,2022-09-17,Idaho,1,2,0,0.75
flu,2022-09-17,Idaho,1,4,0,0.975
flu,2022-09-24,Idaho,2,0,3,0.025
flu,2022-09-24,Idaho,2,0,3,0.25
flu,2022-09-24,Idaho,2,1,3,0.5
flu,2022-09-24,Idaho,2,2,3,0.75
flu,2022-09-24,Idaho,2,4,3,0.975
flu,2022-10-01,Idaho,3,0,3,0.025
flu,2022-10-01,Idaho,3,0,3,0.25
flu,2022-10-01,Idaho,3,1,3,0.5
flu,2022-10-01,Idaho,3,2,3,0.75
flu,2022-10-01,Idaho,3,5,3,0.975
flu,2022-10-08,Idaho,4,0,1,0.025
flu,2022-10-08,Idaho,4,0,1,0.25
flu,2022-10-08,Idaho,4,1,1,0.5
flu,2022-10-08,Idaho,4,2,1,0.75
flu,2022-10-08,Idaho,4,5,1,0.975
flu,2022-09-17,Illinois,1,2,4,0.025
flu,2022-09-17,Illinois,1,6,4,0.25
flu,2022-09-17,Illinois,1,8,4,0.5
flu,2022-09-17,Illinois,1,11,4,0.75
flu,2022-09-17,Illinois,1,19,4,0.975
flu,2022-09-24,Illinois,2,2,15,0.025
flu,2022-09-24,Illinois,2,5,15,0.25
flu,2022-09-24,Illinois,2,8,15,0.5
flu,2022-09-24,Illinois,2,12,15,0.75
flu,2022-09-24,Illinois,2,21,15,0.975
flu,2022-10-01,Illinois,3,2,10,0.025
flu,2022-10-01,Illinois,3,5,10,0.25
flu,2022-10-01,Illinois,3,8,10,0.5
flu,2022-10-01,Illinois,3,12,10,0.75
flu,2022-10-01,Illinois,3,23,10,0.975
flu,2022-10-08,Illinois,4,2,12,0.025
flu,2022-10-08,Illinois,4,5,12,0.25
flu,2022-10-08,Illinois,4,9,12,0.5
flu,2022-10-08,Illinois,4,13,12,0.75
flu,2022-10-08,Illinois,4,27,12,0.975
flu,2022-09-17,Indiana,1,10,26,0.025
flu,2022-09-17,Indiana,1,18,26,0.25
flu,2022-09-17,Indiana,1,23,26,0.5
flu,2022-09-17,Indiana,1,30,26,0.75
flu,2022-09-17,Indiana,1,47,26,0.975
flu,2022-09-24,Indiana,2,8,32,0.025
flu,2022-09-24,Indiana,2,16,32,0.25
flu,2022-09-24,Indiana,2,23,32,0.5
flu,2022-09-24,Indiana,2,31,32,0.75
flu,2022-09-24,Indiana,2,57,32,0.975
flu,2022-10-01,Indiana,3,6,38,0.025
flu,2022-10-01,Indiana,3,16,38,0.25
flu,2022-10-01,Indiana,3,24,38,0.5
