model,date,location,horizon,prediction,true_value,quantile
flu,2022-10-08,Kentucky,4,7,7,0.25
flu,2022-10-08,Kentucky,4,11,7,0.5
flu,2022-10-08,Kentucky,4,16,7,0.75
flu,2022-10-08,Kentucky,4,32,7,0.975
flu,2022-09-17,Louisiana,1,4,20,0.025
flu,2022-09-17,Louisiana,1,8,20,0.25
flu,2022-09-17,Louisiana,1,11,20,0.5
flu,2022-09-17,Louisiana,1,16,20,0.75
flu,2022-09-17,Louisiana,1,27,20,0.975
flu,2022-09-24,Louisiana,2,3,20,0.025
flu,2022-09-24,Louisiana,2,7,20,0.25
flu,2022-09-24,Louisiana,2,11,20,0.5
flu,2022-09-24,Louisiana,2,16,20,0.75
flu,2022-09-24,Louisiana,2,31,20,0.975
flu,2022-10-01,Louisiana,3,2,39,0.025
flu,2022-10-01,Louisiana,3,7,39,0.25
flu,2022-10-01,Louisiana,3,11,39,0.5
flu,2022-10-01,Louisiana,3,17,39,0.75
flu,2022-10-01,Louisiana,3,36,39,0.975
flu,2022-10-08,Louisiana,4,2,41,0.025
flu,2022-10-08,Louisiana,4,7,41,0.25
flu,2022-10-08,Louisiana,4,12,41,0.5
flu,2022-10-08,Louisiana,4,18,41,0.75
flu,2022-10-08,Louisiana,4,41,41,0.975
flu,2022-09-17,Maine,1,0,0,0.025
flu,2022-09-17,Maine,1,0,0,0.25
flu,2022-09-17,Maine,1,0,0,0.5
flu,2022-09-17,Maine,1,1,0,0.75
flu,2022-09-17,Maine,1,2,0,0.975
flu,2022-09-24,Maine,2,0,0,0.025
flu,2022-09-24,Maine,2,0,0,0.25
flu,2022-09-24,Maine,2,0,0,0.5
flu,2022-09-24,Maine,2,1,0,0.75
flu,2022-09-24,Maine,2,3,0,0.975
flu,2022-10-01,Maine,3,0,0,0.025
flu,2022-10-01,Maine,3,0,0,0.25
flu,2022-10-01,Maine,3,0,0,0.5
flu,2022-10-01,Maine,3,1,0,0.75
flu,2022-10-01,Maine,3,3,0,0.975
flu,2022-10-08,Maine,4,0,1,0.025
flu,2022-10-08,Maine,4,0,1,0.25
flu,2022-10-08,Maine,4,0,1,0.5
flu,2022-10-08,Maine,4,1,1,0.75
flu,2022-10-08,Maine,4,3,1,0.975
flu,2022-09-17,Maryland,1,0,8,0.025
flu,2022-09-17,Maryland,1,2,8,0.25
flu,2022-09-17,Maryland,1,4,8,0.5
flu,2022-09-17,Maryland,1,5,8,0.75
flu,2022-09-17,Maryland,1,10,8,0.975
flu,2022-09-24,Maryland,2,0,3,0.025
flu,2022-09-24,Maryland,2,2,3,0.25
flu,2022-09-24,Maryland,2,4,3,0.5
flu,2022-09-24,Maryland,2,6,3,0.75
flu,2022-09-24,Maryland,2,12,3,0.975
flu,2022-10-01,Maryland,3,0,7,0.025
