location,location_number,date,count,disease
Pennsylvania,42,2020-12-12,5251,covid
Puerto Rico,72,2020-12-12,257,covid
Rhode Island,44,2020-12-12,276,covid
South Carolina,45,2020-12-12,1048,covid
South Dakota,46,2020-12-12,304,covid
Tennessee,47,2020-12-12,2507,covid
Texas,48,2020-12-12,8498,covid
US,NA,2020-12-12,100638,covid
Utah,49,2020-12-12,670,covid
Vermont,50,2020-12-12,26,covid
Virginia,51,2020-12-12,1481,covid
Washington,53,2020-12-12,704,covid
West Virginia,54,2020-12-12,567,covid
Wisconsin,55,2020-12-12,2411,covid
Wyoming,56,2020-12-12,232,covid
Alabama,1,2020-12-19,2645,covid
Alaska,2,2020-12-19,100,covid
Arizona,4,2020-12-19,3380,covid
Arkansas,5,2020-12-19,1081,covid
California,6,2020-12-19,14934,covid
Colorado,8,2020-12-19,1403,covid
Connecticut,9,2020-12-19,919,covid
Delaware,10,2020-12-19,358,covid
District of Columbia,11,2020-12-19,218,covid
Florida,12,2020-12-19,5645,covid
Georgia,13,2020-12-19,3503,covid
Hawaii,15,2020-12-19,47,covid
Idaho,16,2020-12-19,401,covid
Illinois,17,2020-12-19,3478,covid
Indiana,18,2020-12-19,2639,covid
Iowa,19,2020-12-19,641,covid
Kansas,20,2020-12-19,1104,covid
Kentucky,21,2020-12-19,2983,covid
Louisiana,22,2020-12-19,1391,covid
Maine,23,2020-12-19,128,covid
Maryland,24,2020-12-19,1585,covid
Massachusetts,25,2020-12-19,1826,covid
Michigan,26,2020-12-19,2632,covid
Minnesota,27,2020-12-19,959,covid
Mississippi,28,2020-12-19,1052,covid
Missouri,29,2020-12-19,2030,covid
Montana,30,2020-12-19,361,covid
Nebraska,31,2020-12-19,444,covid
Nevada,32,2020-12-19,1234,covid
New Hampshire,33,2020-12-19,255,covid
New Jersey,34,2020-12-19,2894,covid
New Mexico,35,2020-12-19,879,covid
New York,36,2020-12-19,6094,covid
North Carolina,37,2020-12-19,2302,covid
North Dakota,38,2020-12-19,175,covid
Ohio,39,2020-12-19,4930,covid
Oklahoma,40,2020-12-19,2372,covid
Oregon,41,2020-12-19,446,covid
Pennsylvania,42,2020-12-19,5119,covid
Puerto Rico,72,2020-12-19,220,covid
Rhode Island,44,2020-12-19,248,covid
South Carolina,45,2020-12-19,1204,covid
South Dakota,46,2020-12-19,225,covid
Tennessee,47,2020-12-19,2697,covid
Texas,48,2020-12-19,9150,covid
US,NA,2020-12-19,104391,covid
Utah,49,2020-12-19,635,covid
Vermont,50,2020-12-19,41,covid
Virginia,51,2020-12-19,1634,covid
Washington,53,2020-12-19,711,covid
West Virginia,54,2020-12-19,566,covid
Wisconsin,55,2020-12-19,2285,covid
Wyoming,56,2020-12-19,188,covid
Alabama,1,2020-12-26,2773,covid
Alaska,2,2020-12-26,60,covid
Arizona,4,2020-12-26,3560,covid
Arkansas,5,2020-12-26,1105,covid
California,6,2020-12-26,15561,covid
Colorado,8,2020-12-26,1152,covid
Connecticut,9,2020-12-26,1006,covid
Delaware,10,2020-12-26,327,covid
District of Columbia,11,2020-12-26,229,covid
Florida,12,2020-12-26,6000,covid
Georgia,13,2020-12-26,4568,covid
Hawaii,15,2020-12-26,65,covid
Idaho,16,2020-12-26,305,covid
Illinois,17,2020-12-26,3128,covid
Indiana,18,2020-12-26,2489,covid
Iowa,19,2020-12-26,597,covid
Kansas,20,2020-12-26,976,covid
Kentucky,21,2020-12-26,2836,covid
Louisiana,22,2020-12-26,1389,covid
Maine,23,2020-12-26,105,covid
Maryland,24,2020-12-26,1571,covid
Massachusetts,25,2020-12-26,1869,covid
Michigan,26,2020-12-26,2203,covid
Minnesota,27,2020-12-26,833,covid
Mississippi,28,2020-12-26,1152,covid
Missouri,29,2020-12-26,1911,covid
Montana,30,2020-12-26,253,covid
Nebraska,31,2020-12-26,372,covid
Nevada,32,2020-12-26,1174,covid
New Hampshire,33,2020-12-26,273,covid
New Jersey,34,2020-12-26,2898,covid
New Mexico,35,2020-12-26,854,covid
New York,36,2020-12-26,6735,covid
North Carolina,37,2020-12-26,2561,covid
North Dakota,38,2020-12-26,160,covid
Ohio,39,2020-12-26,4143,covid
Oklahoma,40,2020-12-26,2483,covid
Oregon,41,2020-12-26,414,covid
Pennsylvania,42,2020-12-26,4641,covid
Puerto Rico,72,2020-12-26,218,covid
Rhode Island,44,2020-12-26,225,covid
South Carolina,45,2020-12-26,1356,covid
South Dakota,46,2020-12-26,154,covid
Tennessee,47,2020-12-26,2448,covid
Texas,48,2020-12-26,10301,covid
US,NA,2020-12-26,104937,covid
Utah,49,2020-12-26,548,covid
Vermont,50,2020-12-26,31,covid
Virginia,51,2020-12-26,1706,covid
Washington,53,2020-12-26,752,covid
West Virginia,54,2020-12-26,605,covid
Wisconsin,55,2020-12-26,1708,covid
Wyoming,56,2020-12-26,154,covid
Alabama,1,2021-01-02,2915,covid
Alaska,2,2021-01-02,69,covid
Arizona,4,2021-01-02,3791,covid
Arkansas,5,2021-01-02,1232,covid
California,6,2021-01-02,16061,covid
Colorado,8,2021-01-02,1061,covid
Connecticut,9,2021-01-02,938,covid
Delaware,10,2021-01-02,320,covid
District of Columbia,11,2021-01-02,228,covid
Florida,12,2021-01-02,7235,covid
Georgia,13,2021-01-02,5201,covid
Hawaii,15,2021-01-02,72,covid
Idaho,16,2021-01-02,339,covid
Illinois,17,2021-01-02,2937,covid
Indiana,18,2021-01-02,2846,covid
Iowa,19,2021-01-02,573,covid
Kansas,20,2021-01-02,989,covid
Kentucky,21,2021-01-02,3100,covid
Louisiana,22,2021-01-02,1734,covid
Maine,23,2021-01-02,93,covid
Maryland,24,2021-01-02,1501,covid
Massachusetts,25,2021-01-02,2021,covid
Michigan,26,2021-01-02,1942,covid
Minnesota,27,2021-01-02,804,covid
Mississippi,28,2021-01-02,1164,covid
Missouri,29,2021-01-02,1894,covid
Montana,30,2021-01-02,259,covid
Nebraska,31,2021-01-02,359,covid
Nevada,32,2021-01-02,1121,covid
New Hampshire,33,2021-01-02,297,covid
New Jersey,34,2021-01-02,2880,covid
New Mexico,35,2021-01-02,885,covid
New York,36,2021-01-02,7181,covid
North Carolina,37,2021-01-02,2753,covid
North Dakota,38,2021-01-02,140,covid
Ohio,39,2021-01-02,4119,covid
Oklahoma,40,2021-01-02,2701,covid
Oregon,41,2021-01-02,455,covid
Pennsylvania,42,2021-01-02,4389,covid
Puerto Rico,72,2021-01-02,210,covid
Rhode Island,44,2021-01-02,214,covid
South Carolina,45,2021-01-02,1656,covid
South Dakota,46,2021-01-02,175,covid
Tennessee,47,2021-01-02,2758,covid
Texas,48,2021-01-02,12117,covid
US,NA,2021-01-02,111286,covid
Utah,49,2021-01-02,564,covid
Vermont,50,2021-01-02,33,covid
Virginia,51,2021-01-02,1856,covid
Washington,53,2021-01-02,707,covid
West Virginia,54,2021-01-02,677,covid
Wisconsin,55,2021-01-02,1586,covid
Wyoming,56,2021-01-02,134,covid
Alabama,1,2021-01-09,3144,covid
Alaska,2,2021-01-09,76,covid
Arizona,4,2021-01-09,4297,covid
Arkansas,5,2021-01-09,1268,covid
California,6,2021-01-09,16820,covid
Colorado,8,2021-01-09,964,covid
Connecticut,9,2021-01-09,1094,covid
Delaware,10,2021-01-09,379,covid
District of Columbia,11,2021-01-09,266,covid
Florida,12,2021-01-09,8134,covid
Georgia,13,2021-01-09,5772,covid
Hawaii,15,2021-01-09,77,covid
Idaho,16,2021-01-09,327,covid
Illinois,17,2021-01-09,2884,covid
Indiana,18,2021-01-09,2640,covid
Iowa,19,2021-01-09,593,covid
Kansas,20,2021-01-09,969,covid
Kentucky,21,2021-01-09,3071,covid
Louisiana,22,2021-01-09,2020,covid
Maine,23,2021-01-09,122,covid
Maryland,24,2021-01-09,1757,covid
Massachusetts,25,2021-01-09,1986,covid
Michigan,26,2021-01-09,2071,covid
Minnesota,27,2021-01-09,730,covid
Mississippi,28,2021-01-09,1145,covid
Missouri,29,2021-01-09,1955,covid
Montana,30,2021-01-09,283,covid
Nebraska,31,2021-01-09,396,covid
Nevada,32,2021-01-09,1176,covid
New Hampshire,33,2021-01-09,262,covid
New Jersey,34,2021-01-09,3003,covid
New Mexico,35,2021-01-09,699,covid
New York,36,2021-01-09,7825,covid
North Carolina,37,2021-01-09,3207,covid
North Dakota,38,2021-01-09,112,covid
Ohio,39,2021-01-09,4112,covid
Oklahoma,40,2021-01-09,2874,covid
Oregon,41,2021-01-09,432,covid
Pennsylvania,42,2021-01-09,4275,covid
Puerto Rico,72,2021-01-09,181,covid
Rhode Island,44,2021-01-09,222,covid
South Carolina,45,2021-01-09,1959,covid
South Dakota,46,2021-01-09,160,covid
Tennessee,47,2021-01-09,2620,covid
Texas,48,2021-01-09,13280,covid
US,NA,2021-01-09,117659,covid
Utah,49,2021-01-09,664,covid
Vermont,50,2021-01-09,63,covid
Virginia,51,2021-01-09,2114,covid
Washington,53,2021-01-09,711,covid
West Virginia,54,2021-01-09,630,covid
Wisconsin,55,2021-01-09,1723,covid
Wyoming,56,2021-01-09,115,covid
Alabama,1,2021-01-16,2806,covid
Alaska,2,2021-01-16,54,covid
Arizona,4,2021-01-16,4013,covid
Arkansas,5,2021-01-16,1166,covid
California,6,2021-01-16,14789,covid
Colorado,8,2021-01-16,921,covid
Connecticut,9,2021-01-16,1072,covid
Delaware,10,2021-01-16,385,covid
District of Columbia,11,2021-01-16,262,covid
Florida,12,2021-01-16,7743,covid
Georgia,13,2021-01-16,5687,covid
Hawaii,15,2021-01-16,69,covid
Idaho,16,2021-01-16,256,covid
Illinois,17,2021-01-16,2660,covid
Indiana,18,2021-01-16,2096,covid
Iowa,19,2021-01-16,532,covid
Kansas,20,2021-01-16,966,covid
Kentucky,21,2021-01-16,3164,covid
Louisiana,22,2021-01-16,1728,covid
Maine,23,2021-01-16,136,covid
Maryland,24,2021-01-16,1627,covid
Massachusetts,25,2021-01-16,1946,covid
Michigan,26,2021-01-16,1823,covid
Minnesota,27,2021-01-16,626,covid
Mississippi,28,2021-01-16,933,covid
Missouri,29,2021-01-16,1706,covid
Montana,30,2021-01-16,305,covid
Nebraska,31,2021-01-16,375,covid
Nevada,32,2021-01-16,1127,covid
New Hampshire,33,2021-01-16,230,covid
New Jersey,34,2021-01-16,2989,covid
New Mexico,35,2021-01-16,734,covid
New York,36,2021-01-16,7714,covid
North Carolina,37,2021-01-16,3157,covid
North Dakota,38,2021-01-16,103,covid
Ohio,39,2021-01-16,3781,covid
Oklahoma,40,2021-01-16,2436,covid
Oregon,41,2021-01-16,371,covid
Pennsylvania,42,2021-01-16,3922,covid
Puerto Rico,72,2021-01-16,159,covid
Rhode Island,44,2021-01-16,247,covid
South Carolina,45,2021-01-16,1939,covid
South Dakota,46,2021-01-16,155,covid
Tennessee,47,2021-01-16,2122,covid
Texas,48,2021-01-16,13035,covid
US,NA,2021-01-16,109843,covid
Utah,49,2021-01-16,605,covid
Vermont,50,2021-01-16,66,covid
Virginia,51,2021-01-16,2182,covid
Washington,53,2021-01-16,664,covid
West Virginia,54,2021-01-16,550,covid
Wisconsin,55,2021-01-16,1591,covid
Wyoming,56,2021-01-16,118,covid
Alabama,1,2021-01-23,2271,covid
Alaska,2,2021-01-23,35,covid
Arizona,4,2021-01-23,3716,covid
Arkansas,5,2021-01-23,1064,covid
California,6,2021-01-23,13111,covid
Colorado,8,2021-01-23,850,covid
Connecticut,9,2021-01-23,1000,covid
Delaware,10,2021-01-23,353,covid
District of Columbia,11,2021-01-23,221,covid
Florida,12,2021-01-23,7264,covid
Georgia,13,2021-01-23,5442,covid
