model,date,location,horizon,prediction,true_value,quantile
covid,2022-10-08,Massachusetts,4,1105,909,0.975
covid,2022-09-17,Michigan,1,736,1066,0.025
covid,2022-09-17,Michigan,1,934,1066,0.25
covid,2022-09-17,Michigan,1,1049,1066,0.5
covid,2022-09-17,Michigan,1,1178,1066,0.75
covid,2022-09-17,Michigan,1,1475,1066,0.975
covid,2022-09-24,Michigan,2,624,1055,0.025
covid,2022-09-24,Michigan,2,858,1055,0.25
covid,2022-09-24,Michigan,2,1012,1055,0.5
covid,2022-09-24,Michigan,2,1193,1055,0.75
covid,2022-09-24,Michigan,2,1640,1055,0.975
covid,2022-10-01,Michigan,3,536,967,0.025
covid,2022-10-01,Michigan,3,792,967,0.25
covid,2022-10-01,Michigan,3,973,967,0.5
covid,2022-10-01,Michigan,3,1186,967,0.75
covid,2022-10-01,Michigan,3,1733,967,0.975
covid,2022-10-08,Michigan,4,483,1036,0.025
covid,2022-10-08,Michigan,4,742,1036,0.25
covid,2022-10-08,Michigan,4,946,1036,0.5
covid,2022-10-08,Michigan,4,1173,1036,0.75
covid,2022-10-08,Michigan,4,1795,1036,0.975
covid,2022-09-17,Minnesota,1,300,471,0.025
covid,2022-09-17,Minnesota,1,381,471,0.25
covid,2022-09-17,Minnesota,1,432,471,0.5
covid,2022-09-17,Minnesota,1,488,471,0.75
covid,2022-09-17,Minnesota,1,614,471,0.975
covid,2022-09-24,Minnesota,2,250,444,0.025
covid,2022-09-24,Minnesota,2,353,444,0.25
covid,2022-09-24,Minnesota,2,418,444,0.5
covid,2022-09-24,Minnesota,2,495,444,0.75
covid,2022-09-24,Minnesota,2,679,444,0.975
covid,2022-10-01,Minnesota,3,226,434,0.025
covid,2022-10-01,Minnesota,3,328,434,0.25
covid,2022-10-01,Minnesota,3,400,434,0.5
covid,2022-10-01,Minnesota,3,493,434,0.75
covid,2022-10-01,Minnesota,3,739,434,0.975
covid,2022-10-08,Minnesota,4,198,466,0.025
covid,2022-10-08,Minnesota,4,307,466,0.25
covid,2022-10-08,Minnesota,4,385,466,0.5
covid,2022-10-08,Minnesota,4,485,466,0.75
covid,2022-10-08,Minnesota,4,755,466,0.975
covid,2022-09-17,Mississippi,1,155,157,0.025
covid,2022-09-17,Mississippi,1,200,157,0.25
covid,2022-09-17,Mississippi,1,231,157,0.5
covid,2022-09-17,Mississippi,1,263,157,0.75
covid,2022-09-17,Mississippi,1,335,157,0.975
covid,2022-09-24,Mississippi,2,133,144,0.025
covid,2022-09-24,Mississippi,2,186,144,0.25
covid,2022-09-24,Mississippi,2,221,144,0.5
covid,2022-09-24,Mississippi,2,267,144,0.75
covid,2022-09-24,Mississippi,2,376,144,0.975
covid,2022-10-01,Mississippi,3,115,122,0.025
covid,2022-10-01,Mississippi,3,174,122,0.25
covid,2022-10-01,Mississippi,3,214,122,0.5
covid,2022-10-01,Mississippi,3,265,122,0.75
covid,2022-10-01,Mississippi,3,399,122,0.975
covid,2022-10-08,Mississippi,4,105,98,0.025
covid,2022-10-08,Mississippi,4,164,98,0.25
covid,2022-10-08,Mississippi,4,208,98,0.5
covid,2022-10-08,Mississippi,4,268,98,0.75
covid,2022-10-08,Mississippi,4,420,98,0.975
covid,2022-09-17,Missouri,1,502,647,0.025
covid,2022-09-17,Missouri,1,620,647,0.25
covid,2022-09-17,Missouri,1,691,647,0.5
covid,2022-09-17,Missouri,1,770,647,0.75
covid,2022-09-17,Missouri,1,941,647,0.975
covid,2022-09-24,Missouri,2,425,676,0.025
covid,2022-09-24,Missouri,2,573,676,0.25
covid,2022-09-24,Missouri,2,666,676,0.5
covid,2022-09-24,Missouri,2,777,676,0.75
covid,2022-09-24,Missouri,2,1030,676,0.975
covid,2022-10-01,Missouri,3,370,598,0.025
covid,2022-10-01,Missouri,3,530,598,0.25
covid,2022-10-01,Missouri,3,640,598,0.5
covid,2022-10-01,Missouri,3,772,598,0.75
covid,2022-10-01,Missouri,3,1094,598,0.975
covid,2022-10-08,Missouri,4,330,503,0.025
covid,2022-10-08,Missouri,4,500,503,0.25
