location,date,epiweek,epiyear,population,count,weekly_rate
Maine,2020-11-14,46,2020,1384543,0,0
Maryland,2020-11-14,46,2020,6133130,3,0.04891466510574535
Massachusetts,2020-11-14,46,2020,6978662,2,0.02865878874775709
Michigan,2020-11-14,46,2020,10032075,11,0.10964830306790968
Minnesota,2020-11-14,46,2020,5716548,30,0.5247922347542607
Mississippi,2020-11-14,46,2020,2927305,14,0.4782555968715252
Missouri,2020-11-14,46,2020,6164537,11,0.17844000287450623
Montana,2020-11-14,46,2020,1119563,1,0.08932056525626517
Nebraska,2020-11-14,46,2020,1961505,1,0.05098126183721173
Nevada,2020-11-14,46,2020,3165539,1,0.03159019680376707
New Hampshire,2020-11-14,46,2020,1394692,1,0.07170041844364204
New Jersey,2020-11-14,46,2020,9254137,1,0.010805977910203837
New Mexico,2020-11-14,46,2020,2100079,7,0.3333207941225068
New York,2020-11-14,46,2020,19657190,12,0.061046365223106656
North Carolina,2020-11-14,46,2020,10596562,5,0.04718511532325296
North Dakota,2020-11-14,46,2020,772061,5,0.6476172219552601
Ohio,2020-11-14,46,2020,11749303,5,0.04255571585820878
Oklahoma,2020-11-14,46,2020,4001266,18,0.44985762006325
Oregon,2020-11-14,46,2020,4238665,0,0
Pennsylvania,2020-11-14,46,2020,12969276,4,0.030842122567211923
Puerto Rico,2020-11-14,46,2020,3221789,14,0.43454118193339164
Rhode Island,2020-11-14,46,2020,1090390,0,0
South Carolina,2020-11-14,46,2020,5246039,2,0.03812400174684176
South Dakota,2020-11-14,46,2020,906458,2,0.22063901471441588
Tennessee,2020-11-14,46,2020,7030607,32,0.4551527343229397
Texas,2020-11-14,46,2020,29914599,138,0.4613132203443543
US,2020-11-14,46,2020,332200066,574,0.17278744309460795
Utah,2020-11-14,46,2020,3376238,1,0.029618765027820907
Vermont,2020-11-14,46,2020,646910,1,0.15458100817733533
Virginia,2020-11-14,46,2020,8583866,23,0.26794453687883757
Washington,2020-11-14,46,2020,7735834,2,0.025853708856730898
West Virginia,2020-11-14,46,2020,1774977,1,0.05633875819235967
Wisconsin,2020-11-14,46,2020,5891022,4,0.06789993315251582
Wyoming,2020-11-14,46,2020,578583,0,0
Alabama,2020-11-21,47,2020,5063778,10,0.19748101121336678
Alaska,2020-11-21,47,2020,711426,0,0
Arizona,2020-11-21,47,2020,7341018,21,0.2860638674363692
Arkansas,2020-11-21,47,2020,3041878,6,0.1972465693890419
California,2020-11-21,47,2020,38886551,39,0.100291743538788
Colorado,2020-11-21,47,2020,5803748,5,0.08615122503595952
Connecticut,2020-11-21,47,2020,3621089,2,0.05523200341112853
Delaware,2020-11-21,47,2020,1014872,0,0
District of Columbia,2020-11-21,47,2020,668576,0,0
Florida,2020-11-21,47,2020,22183852,34,0.15326463591625114
Georgia,2020-11-21,47,2020,10855454,24,0.22108702224706586
Hawaii,2020-11-21,47,2020,1398977,0,0
Idaho,2020-11-21,47,2020,1935521,0,0
Illinois,2020-11-21,47,2020,12563096,5,0.039799106844363843
Indiana,2020-11-21,47,2020,6831941,8,0.11709702996556909
Iowa,2020-11-21,47,2020,3200224,4,0.12499125061245712
Kansas,2020-11-21,47,2020,2916451,4,0.13715299862744137
Kentucky,2020-11-21,47,2020,4494379,10,0.22250014963135062
Louisiana,2020-11-21,47,2020,4575074,3,0.06557270986217928
Maine,2020-11-21,47,2020,1384543,0,0
Maryland,2020-11-21,47,2020,6133130,4,0.06521955347432713
Massachusetts,2020-11-21,47,2020,6978662,1,0.014329394373878545
Michigan,2020-11-21,47,2020,10032075,16,0.15948844082605043
Minnesota,2020-11-21,47,2020,5716548,8,0.13994459593446953
Mississippi,2020-11-21,47,2020,2927305,6,0.2049666843735108
Missouri,2020-11-21,47,2020,6164537,8,0.12977454754509543
Montana,2020-11-21,47,2020,1119563,1,0.08932056525626517
Nebraska,2020-11-21,47,2020,1961505,1,0.05098126183721173
Nevada,2020-11-21,47,2020,3165539,5,0.15795098401883534
New Hampshire,2020-11-21,47,2020,1394692,1,0.07170041844364204
New Jersey,2020-11-21,47,2020,9254137,13,0.14047771283264987
New Mexico,2020-11-21,47,2020,2100079,0,0
New York,2020-11-21,47,2020,19657190,19,0.09665674493658555
North Carolina,2020-11-21,47,2020,10596562,17,0.16042939209906004
North Dakota,2020-11-21,47,2020,772061,0,0
Ohio,2020-11-21,47,2020,11749303,2,0.017022286343283514
Oklahoma,2020-11-21,47,2020,4001266,11,0.27491299003865277
Oregon,2020-11-21,47,2020,4238665,0,0
Pennsylvania,2020-11-21,47,2020,12969276,6,0.04626318385081789
Puerto Rico,2020-11-21,47,2020,3221789,21,0.6518117729000875
Rhode Island,2020-11-21,47,2020,1090390,0,0
South Carolina,2020-11-21,47,2020,5246039,7,0.13343400611394615
South Dakota,2020-11-21,47,2020,906458,1,0.11031950735720794
Tennessee,2020-11-21,47,2020,7030607,39,0.5547173949560827
Texas,2020-11-21,47,2020,29914599,153,0.5114559616861319
US,2020-11-21,47,2020,332200066,548,0.16496083417394625
Utah,2020-11-21,47,2020,3376238,0,0
Vermont,2020-11-21,47,2020,646910,1,0.15458100817733533
Virginia,2020-11-21,47,2020,8583866,23,0.26794453687883757
Washington,2020-11-21,47,2020,7735834,2,0.025853708856730898
West Virginia,2020-11-21,47,2020,1774977,7,0.3943713073465177
Wisconsin,2020-11-21,47,2020,5891022,0,0
Wyoming,2020-11-21,47,2020,578583,0,0
Alabama,2020-11-28,48,2020,5063778,14,0.2764734156987135
Alaska,2020-11-28,48,2020,711426,0,0
Arizona,2020-11-28,48,2020,7341018,13,0.17708715603203806
Arkansas,2020-11-28,48,2020,3041878,13,0.4273675670095908
California,2020-11-28,48,2020,38886551,76,0.19544032074225354
Colorado,2020-11-28,48,2020,5803748,3,0.051690735021575715
Connecticut,2020-11-28,48,2020,3621089,0,0
Delaware,2020-11-28,48,2020,1014872,0,0
District of Columbia,2020-11-28,48,2020,668576,0,0
Florida,2020-11-28,48,2020,22183852,46,0.2073580368278692
Georgia,2020-11-28,48,2020,10855454,7,0.06448371482206088
Hawaii,2020-11-28,48,2020,1398977,1,0.07148080347282336
Idaho,2020-11-28,48,2020,1935521,0,0
Illinois,2020-11-28,48,2020,12563096,12,0.09551785642647322
Indiana,2020-11-28,48,2020,6831941,5,0.07318564372848067
Iowa,2020-11-28,48,2020,3200224,8,0.24998250122491425
Kansas,2020-11-28,48,2020,2916451,4,0.13715299862744137
Kentucky,2020-11-28,48,2020,4494379,13,0.2892501945207558
Louisiana,2020-11-28,48,2020,4575074,5,0.1092878497702988
Maine,2020-11-28,48,2020,1384543,0,0
Maryland,2020-11-28,48,2020,6133130,3,0.04891466510574535
